No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-11-24,INS040101CV,ALAMEDA ICTA,0.0,12.0,17.3,23.0,1.3,86.0,3.4,7.0,2.0,270.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
2,2024-11-25,INS040101CV,ALAMEDA ICTA,0.0,9.0,17.3,22.6,3.3,86.0,8.5,0.0,3.0,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
3,2024-11-26,INS040101CV,ALAMEDA ICTA,0.0,8.4,14.8,20.2,5.0,85.0,0.4,5.0,3.7,270.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
4,2024-11-27,INS040101CV,ALAMEDA ICTA,0.0,10.6,18.6,23.0,1.1,85.0,8.4,2.0,2.0,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
5,2024-11-28,INS040101CV,ALAMEDA ICTA,0.0,12.6,19.6,23.6,4.2,85.0,8.6,3.0,2.0,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
6,2024-11-29,INS040101CV,ALAMEDA ICTA,0.0,7.4,17.5,23.4,5.4,85.0,8.1,4.0,4.7,270.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
7,2024-11-30,INS040101CV,ALAMEDA ICTA,0.0,10.4,19.4,24.6,4.3,86.0,8.5,0.0,2.0,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
8,2024-12-01,INS040101CV,ALAMEDA ICTA,0.0,11.4,17.1,21.6,5.4,85.0,0.5,6.0,1.3,270.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
9,2024-12-02,INS040101CV,ALAMEDA ICTA,4.3,12.2,16.1,20.4,2.3,86.0,0.0,8.0,4.7,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
10,2024-12-03,INS040101CV,ALAMEDA ICTA,0.0,12.6,16.3,21.0,2.2,85.0,6.2,7.0,3.7,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
11,2024-12-04,INS040101CV,ALAMEDA ICTA,0.0,11.2,16.7,21.6,3.1,84.0,7.2,6.0,3.0,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
12,2024-12-05,INS040101CV,ALAMEDA ICTA,0.0,8.1,15.8,22.4,4.2,84.0,6.4,6.0,1.3,270.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
13,2024-12-06,INS040101CV,ALAMEDA ICTA,0.0,10.6,15.8,20.6,5.1,85.0,1.2,8.0,2.0,270.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
14,2024-12-07,INS040101CV,ALAMEDA ICTA,0.0,11.2,16.5,21.0,2.3,84.0,2.4,7.0,5.3,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
15,2024-12-08,INS040101CV,ALAMEDA ICTA,0.0,11.6,16.6,21.4,4.2,85.0,1.2,8.0,2.0,270.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
16,2024-12-09,INS040101CV,ALAMEDA ICTA,0.0,9.6,16.6,22.6,3.2,86.0,7.6,3.0,1.3,270.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
17,2024-12-10,INS040101CV,ALAMEDA ICTA,0.0,11.2,17.9,24.0,3.1,83.0,7.4,3.0,2.0,270.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
18,2024-12-11,INS040101CV,ALAMEDA ICTA,5.6,10.2,16.8,22.0,4.5,85.0,7.5,4.0,3.0,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
19,2024-12-12,INS040101CV,ALAMEDA ICTA,1.1,12.6,16.8,21.0,3.3,86.0,0.5,8.0,5.3,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
20,2024-12-13,INS040101CV,ALAMEDA ICTA,0.0,12.4,18.7,22.6,2.3,87.0,7.2,4.0,2.0,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
21,2024-12-14,INS040101CV,ALAMEDA ICTA,0.0,13.0,19.5,23.0,3.2,84.0,8.0,6.0,3.0,270.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
22,2024-12-15,INS040101CV,ALAMEDA ICTA,0.0,11.6,15.9,20.4,2.2,86.0,0.0,8.0,3.7,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
23,2024-12-16,INS040101CV,ALAMEDA ICTA,0.0,7.0,16.9,23.2,2.4,86.0,8.2,1.0,0.7,270.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
24,2024-12-17,INS040101CV,ALAMEDA ICTA,0.0,8.0,16.7,22.0,5.2,88.0,5.2,5.0,3.7,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
25,2024-12-18,INS040101CV,ALAMEDA ICTA,0.0,12.2,18.0,23.2,5.1,86.0,7.6,4.0,3.7,270.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
26,2024-12-19,INS040101CV,ALAMEDA ICTA,0.0,12.6,16.7,21.6,4.3,84.0,4.2,7.0,1.3,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
27,2024-12-20,INS040101CV,ALAMEDA ICTA,0.0,13.4,17.1,21.0,4.4,85.0,0.5,8.0,2.0,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
28,2024-12-21,INS040101CV,ALAMEDA ICTA,0.0,11.0,17.1,23.0,3.2,84.0,8.2,0.0,1.3,360.0,INSDMCL0401001CONV,14.637936,-90.803967,1750.0
