No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-06-13,INS200501CV,CAMOTAN,5.3,23.6,28.3,36.8,67.0,8.0,7.0,45.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
2,2024-06-14,INS200501CV,CAMOTAN,0.2,24.8,29.5,33.2,72.0,8.0,7.0,270.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
3,2024-06-15,INS200501CV,CAMOTAN,5.9,24.0,26.7,34.2,82.0,7.0,7.0,315.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
4,2024-06-16,INS200501CV,CAMOTAN,13.9,23.8,26.1,29.0,80.0,8.0,7.0,45.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
5,2024-06-17,INS200501CV,CAMOTAN,2.0,24.0,25.4,27.2,80.0,8.0,11.0,225.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
6,2024-06-18,INS200501CV,CAMOTAN,0.0,24.6,26.7,30.8,77.0,7.0,11.0,360.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
7,2024-06-19,INS200501CV,CAMOTAN,0.5,24.0,27.9,31.2,72.0,6.0,13.3,45.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
8,2024-06-20,INS200501CV,CAMOTAN,4.0,23.4,26.7,29.0,78.0,8.0,11.0,45.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
9,2024-06-21,INS200501CV,CAMOTAN,3.2,22.6,26.1,29.0,72.0,8.0,11.0,45.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
10,2024-06-22,INS200501CV,CAMOTAN,38.8,22.4,29.2,35.2,69.0,7.0,7.0,360.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
11,2024-06-23,INS200501CV,CAMOTAN,2.5,23.0,27.9,35.2,77.0,7.0,7.0,45.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
12,2024-06-24,INS200501CV,CAMOTAN,8.5,22.2,27.8,35.0,75.0,8.0,7.0,225.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
13,2024-06-25,INS200501CV,CAMOTAN,29.1,22.0,30.3,36.0,73.0,5.0,9.0,90.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
14,2024-06-26,INS200501CV,CAMOTAN,29.2,21.6,25.8,34.2,79.0,6.0,7.0,90.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
15,2024-06-27,INS200501CV,CAMOTAN,0.0,21.4,28.6,34.4,71.0,6.0,7.0,45.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
16,2024-06-28,INS200501CV,CAMOTAN,45.4,24.2,27.5,34.0,78.0,7.0,7.0,270.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
17,2024-06-29,INS200501CV,CAMOTAN,5.8,22.6,26.7,31.2,79.0,8.0,7.0,45.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
18,2024-06-30,INS200501CV,CAMOTAN,2.0,23.4,27.6,33.2,77.0,7.0,7.0,90.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
19,2024-07-01,INS200501CV,CAMOTAN,0.0,24.0,28.7,32.2,76.0,6.0,9.0,315.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
20,2024-07-02,INS200501CV,CAMOTAN,4.6,23.0,29.3,34.4,72.0,7.0,7.0,90.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
21,2024-07-03,INS200501CV,CAMOTAN,0.0,22.6,28.0,33.0,69.0,6.0,11.0,225.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
22,2024-07-04,INS200501CV,CAMOTAN,0.0,21.6,28.4,34.6,70.0,5.0,11.0,270.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
23,2024-07-05,INS200501CV,CAMOTAN,0.8,23.2,29.1,36.0,71.0,7.0,9.0,45.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
24,2024-07-06,INS200501CV,CAMOTAN,0.0,23.6,29.1,34.8,69.0,7.0,7.0,45.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
25,2024-07-07,INS200501CV,CAMOTAN,5.2,23.0,27.7,32.8,67.0,8.0,9.0,225.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
26,2024-07-08,INS200501CV,CAMOTAN,3.4,23.4,27.3,34.2,76.0,8.0,7.0,360.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
27,2024-07-09,INS200501CV,CAMOTAN,10.4,24.0,27.9,36.0,69.0,7.0,9.0,270.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
28,2024-07-10,INS200501CV,CAMOTAN,12.9,22.0,28.6,35.2,67.0,6.0,9.0,360.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
29,2024-07-11,INS200501CV,CAMOTAN,0.0,20.0,27.6,35.2,69.0,6.0,9.0,315.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
30,2024-07-12,INS200501CV,CAMOTAN,,22.2,23.4,,78.0,6.0,7.0,340.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
