No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-06-08,INS110701CV,CHAMPERICO FEGUA,0.9,25.0,29.2,33.8,80.0,8.2,6.0,4.7,9.0,754.3,INSDMCL1107001CONV,14.29397,-91.91426,5.0
2,2025-06-09,INS110701CV,CHAMPERICO FEGUA,30.0,25.0,29.7,34.6,82.0,5.0,6.0,6.0,270.0,754.5,INSDMCL1107001CONV,14.29397,-91.91426,5.0
3,2025-06-10,INS110701CV,CHAMPERICO FEGUA,5.0,24.0,29.2,34.6,81.0,8.0,7.0,6.0,360.0,755.1,INSDMCL1107001CONV,14.29397,-91.91426,5.0
4,2025-06-11,INS110701CV,CHAMPERICO FEGUA,10.3,24.0,29.0,34.2,80.0,4.6,6.0,6.0,270.0,755.5,INSDMCL1107001CONV,14.29397,-91.91426,5.0
5,2025-06-12,INS110701CV,CHAMPERICO FEGUA,124.6,25.0,29.4,33.8,83.0,8.2,7.0,6.7,270.0,755.0,INSDMCL1107001CONV,14.29397,-91.91426,5.0
6,2025-06-13,INS110701CV,CHAMPERICO FEGUA,8.5,24.0,29.0,34.8,83.0,8.1,6.0,4.7,270.0,754.5,INSDMCL1107001CONV,14.29397,-91.91426,5.0
7,2025-06-14,INS110701CV,CHAMPERICO FEGUA,0.0,24.6,29.8,35.2,82.0,9.0,6.0,4.7,270.0,755.0,INSDMCL1107001CONV,14.29397,-91.91426,5.0
8,2025-06-15,INS110701CV,CHAMPERICO FEGUA,2.7,26.0,29.3,34.8,85.0,6.3,6.0,6.7,270.0,754.8,INSDMCL1107001CONV,14.29397,-91.91426,5.0
9,2025-06-16,INS110701CV,CHAMPERICO FEGUA,11.2,25.0,28.2,34.6,87.0,5.0,7.0,7.3,270.0,754.0,INSDMCL1107001CONV,14.29397,-91.91426,5.0
10,2025-06-17,INS110701CV,CHAMPERICO FEGUA,16.7,24.4,26.7,31.4,93.0,0.0,8.0,8.0,270.0,753.5,INSDMCL1107001CONV,14.29397,-91.91426,5.0
11,2025-06-18,INS110701CV,CHAMPERICO FEGUA,28.4,24.0,25.8,29.4,95.0,0.0,8.0,6.0,315.0,753.9,INSDMCL1107001CONV,14.29397,-91.91426,5.0
12,2025-06-19,INS110701CV,CHAMPERICO FEGUA,0.0,23.4,28.8,33.8,86.0,8.0,6.0,6.7,270.0,754.4,INSDMCL1107001CONV,14.29397,-91.91426,5.0
13,2025-06-20,INS110701CV,CHAMPERICO FEGUA,0.0,24.8,28.6,34.8,83.0,4.1,5.0,5.3,270.0,754.9,INSDMCL1107001CONV,14.29397,-91.91426,5.0
14,2025-06-21,INS110701CV,CHAMPERICO FEGUA,0.5,24.8,28.9,33.6,86.0,1.9,7.0,6.0,270.0,755.2,INSDMCL1107001CONV,14.29397,-91.91426,5.0
15,2025-06-22,INS110701CV,CHAMPERICO FEGUA,0.0,24.6,29.7,34.4,81.0,4.7,8.0,6.0,270.0,755.6,INSDMCL1107001CONV,14.29397,-91.91426,5.0
16,2025-06-23,INS110701CV,CHAMPERICO FEGUA,0.0,24.6,29.5,33.8,85.0,2.0,7.0,4.7,9.0,754.7,INSDMCL1107001CONV,14.29397,-91.91426,5.0
17,2025-06-24,INS110701CV,CHAMPERICO FEGUA,0.0,24.8,29.7,33.6,82.0,10.4,5.0,4.7,9.0,754.2,INSDMCL1107001CONV,14.29397,-91.91426,5.0
18,2025-06-25,INS110701CV,CHAMPERICO FEGUA,1.0,25.0,29.5,34.4,84.0,1.3,7.0,4.0,225.0,757.4,INSDMCL1107001CONV,14.29397,-91.91426,5.0
