No.,fecha,ID,Nombre,lluvia,eva_tan,bri_solar,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-11-01,INS140301CV,CHINIQUE,0.2,1.7,3.0,8.0,2.7,360.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
2,2024-11-02,INS140301CV,CHINIQUE,0.5,1.5,4.0,7.0,1.3,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
3,2024-11-03,INS140301CV,CHINIQUE,0.0,2.5,7.5,5.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
4,2024-11-04,INS140301CV,CHINIQUE,0.0,2.5,7.4,4.0,0.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
5,2024-11-05,INS140301CV,CHINIQUE,0.0,2.1,9.0,3.0,0.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
6,2024-11-06,INS140301CV,CHINIQUE,0.2,2.9,8.5,5.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
7,2024-11-07,INS140301CV,CHINIQUE,0.0,2.9,9.7,2.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
8,2024-11-08,INS140301CV,CHINIQUE,0.0,4.9,9.0,2.0,2.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
9,2024-11-09,INS140301CV,CHINIQUE,0.0,4.9,9.5,1.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
10,2024-11-10,INS140301CV,CHINIQUE,0.0,5.2,7.0,1.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
11,2024-11-11,INS140301CV,CHINIQUE,0.0,4.6,3.1,6.0,0.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
12,2024-11-12,INS140301CV,CHINIQUE,0.1,0.0,3.7,8.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
13,2024-11-13,INS140301CV,CHINIQUE,0.0,0.0,5.7,3.0,0.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
14,2024-11-14,INS140301CV,CHINIQUE,0.0,1.9,5.0,3.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
15,2024-11-15,INS140301CV,CHINIQUE,0.0,3.7,4.0,7.0,0.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
16,2024-11-16,INS140301CV,CHINIQUE,0.0,1.2,1.0,7.0,0.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
17,2024-11-17,INS140301CV,CHINIQUE,10.2,0.0,0.5,8.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
18,2024-11-18,INS140301CV,CHINIQUE,0.6,0.0,0.5,8.0,1.3,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
19,2024-11-19,INS140301CV,CHINIQUE,7.3,0.2,8.5,8.0,0.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
20,2024-11-20,INS140301CV,CHINIQUE,9.2,2.5,5.0,4.0,1.3,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
21,2024-11-21,INS140301CV,CHINIQUE,0.0,0.0,0.1,8.0,1.3,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
22,2024-11-22,INS140301CV,CHINIQUE,0.0,1.5,1.1,7.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
23,2024-11-23,INS140301CV,CHINIQUE,0.3,2.7,3.0,4.0,0.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
24,2024-11-24,INS140301CV,CHINIQUE,0.0,2.0,6.0,6.0,0.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
25,2024-11-25,INS140301CV,CHINIQUE,0.0,5.2,8.5,5.0,0.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
26,2024-11-26,INS140301CV,CHINIQUE,0.0,5.0,1.0,7.0,2.0,270.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
27,2024-11-27,INS140301CV,CHINIQUE,0.0,0.2,7.0,5.0,2.0,270.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
28,2024-11-28,INS140301CV,CHINIQUE,0.0,5.9,8.5,2.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
29,2024-11-29,INS140301CV,CHINIQUE,0.0,3.9,9.5,1.0,4.0,360.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
30,2024-11-30,INS140301CV,CHINIQUE,,4.9,,2.0,1.0,135.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
