No.,fecha,ID,tmin,tseca,tmax,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-12-27,INS150401CV,11.4,23.6,33.4,3.0,2.0,270.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
2,2024-12-28,INS150401CV,15.4,23.7,30.6,5.0,2.0,360.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
3,2024-12-29,INS150401CV,15.0,23.7,31.4,4.0,5.3,360.0,Cubulco,0.5,INSDMCL1504001CONV,15.109023,-90.620582,994.0
4,2024-12-30,INS150401CV,16.4,21.4,26.0,6.0,2.0,270.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
5,2024-12-31,INS150401CV,15.2,24.0,32.8,6.0,2.0,9.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
6,2025-01-01,INS150401CV,15.0,22.1,29.8,4.0,3.7,270.0,Cubulco,0.6,INSDMCL1504001CONV,15.109023,-90.620582,994.0
7,2025-01-02,INS150401CV,15.4,21.3,29.6,8.0,3.7,270.0,Cubulco,0.3,INSDMCL1504001CONV,15.109023,-90.620582,994.0
8,2025-01-03,INS150401CV,16.0,19.9,23.6,7.0,3.7,360.0,Cubulco,0.2,INSDMCL1504001CONV,15.109023,-90.620582,994.0
9,2025-01-04,INS150401CV,14.4,19.3,23.2,7.0,3.7,9.0,Cubulco,0.2,INSDMCL1504001CONV,15.109023,-90.620582,994.0
10,2025-01-05,INS150401CV,12.4,21.9,30.8,5.0,3.7,270.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
11,2025-01-06,INS150401CV,12.0,23.4,32.6,4.0,5.7,360.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
12,2025-01-07,INS150401CV,18.0,22.6,27.4,5.0,3.7,270.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
13,2025-01-08,INS150401CV,16.4,21.5,26.4,7.0,2.0,90.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
14,2025-01-09,INS150401CV,17.0,21.7,26.8,6.0,3.7,270.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
15,2025-01-10,INS150401CV,11.4,22.6,32.8,2.0,2.0,9.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
16,2025-01-11,INS150401CV,10.4,21.2,29.6,2.0,2.0,360.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
17,2025-01-12,INS150401CV,10.4,22.4,31.6,1.0,3.7,90.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
18,2025-01-13,INS150401CV,11.4,23.3,33.6,1.0,3.7,360.0,Cubulco,2.4,INSDMCL1504001CONV,15.109023,-90.620582,994.0
19,2025-01-14,INS150401CV,17.4,22.3,27.4,5.0,2.0,270.0,Cubulco,1.3,INSDMCL1504001CONV,15.109023,-90.620582,994.0
20,2025-01-15,INS150401CV,11.0,20.7,27.4,6.0,5.3,270.0,Cubulco,0.3,INSDMCL1504001CONV,15.109023,-90.620582,994.0
21,2025-01-16,INS150401CV,10.6,21.8,29.4,6.0,3.7,9.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
22,2025-01-17,INS150401CV,11.4,21.5,31.0,1.0,2.0,9.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
23,2025-01-18,INS150401CV,6.4,21.6,34.0,0.0,3.7,180.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
24,2025-01-19,INS150401CV,8.4,22.7,34.4,1.0,3.7,360.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
25,2025-01-20,INS150401CV,14.4,21.7,28.4,4.0,3.7,270.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
26,2025-01-21,INS150401CV,10.4,22.1,33.0,3.0,5.3,270.0,Cubulco,5.9,INSDMCL1504001CONV,15.109023,-90.620582,994.0
27,2025-01-22,INS150401CV,16.0,19.8,24.6,7.0,3.7,360.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
28,2025-01-23,INS150401CV,13.4,18.0,22.8,7.0,2.0,360.0,Cubulco,2.7,INSDMCL1504001CONV,15.109023,-90.620582,994.0
29,2025-01-24,INS150401CV,14.4,20.0,24.6,8.0,5.3,270.0,Cubulco,0.0,INSDMCL1504001CONV,15.109023,-90.620582,994.0
30,2025-01-25,INS150401CV,15.4,16.4,,6.0,2.0,270.0,Cubulco,,INSDMCL1504001CONV,15.109023,-90.620582,994.0
