No.,fecha,lluvia,Nombre,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,Fenomenos/0,Fenomenos/1,Fenomenos/2,Fenomenos/3,Fenomenos/4,Fenomenos/5,Fenomenos/6,Fenomenos/7,Fenomenos/8,Fenomenos/9,Fenomenos/10,Longitud,Latitud,Altitud
1,2023-08-01,0.0,EL CAPITAN,16.0,20.6,27.0,80.0,5.0,7.3,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
2,2023-08-02,4.0,EL CAPITAN,15.0,19.7,23.0,86.0,8.0,2.7,180.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
3,2023-08-03,0.0,EL CAPITAN,14.5,20.1,26.0,81.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
4,2023-08-04,21.0,EL CAPITAN,15.0,20.3,26.6,82.0,6.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
5,2023-08-05,0.0,EL CAPITAN,14.6,22.1,28.0,80.0,2.0,8.7,180.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
6,2023-08-06,0.0,EL CAPITAN,14.0,20.7,27.2,80.0,3.0,7.3,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
7,2023-08-07,0.0,EL CAPITAN,15.0,22.3,28.6,75.0,3.0,6.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
8,2023-08-08,0.0,EL CAPITAN,16.4,22.2,27.2,76.0,4.0,8.7,180.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
9,2023-08-09,0.0,EL CAPITAN,14.5,20.9,27.0,80.0,3.0,5.7,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
10,2023-08-10,1.0,EL CAPITAN,15.4,21.7,26.6,81.0,5.0,7.3,180.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
11,2023-08-11,0.0,EL CAPITAN,14.5,20.7,26.0,85.0,5.0,5.3,180.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
12,2023-08-12,0.0,EL CAPITAN,15.0,21.0,26.0,79.0,6.0,6.3,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
13,2023-08-13,0.0,EL CAPITAN,16.0,20.3,25.0,86.0,8.0,10.7,180.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
14,2023-08-14,3.6,EL CAPITAN,16.4,21.3,26.8,77.0,6.0,9.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
15,2023-08-15,1.0,EL CAPITAN,15.0,20.2,25.0,84.0,7.0,4.7,180.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
16,2023-08-16,0.0,EL CAPITAN,15.0,20.7,26.0,81.0,7.0,7.7,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
17,2023-08-17,0.0,EL CAPITAN,13.8,19.9,26.0,86.0,4.0,7.7,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
18,2023-08-18,0.0,EL CAPITAN,16.0,21.5,27.0,81.0,4.0,8.3,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
19,2023-08-19,0.0,EL CAPITAN,13.0,19.9,26.4,85.0,4.0,13.3,180.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
20,2023-08-20,0.0,EL CAPITAN,12.5,20.0,27.0,83.0,3.0,8.7,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
21,2023-08-21,0.0,EL CAPITAN,15.5,19.7,24.4,83.0,7.0,7.3,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
22,2023-08-22,0.0,EL CAPITAN,15.5,21.3,26.4,80.0,4.0,8.0,180.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
23,2023-08-23,0.0,EL CAPITAN,14.0,19.2,24.0,88.0,8.0,5.3,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
24,2023-08-24,0.0,EL CAPITAN,16.0,19.7,22.6,88.0,8.0,2.0,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
25,2023-08-25,0.0,EL CAPITAN,15.0,20.7,25.0,81.0,6.0,6.3,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
26,2023-08-26,0.5,EL CAPITAN,16.0,20.8,26.8,81.0,4.0,4.7,180.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
27,2023-08-27,0.0,EL CAPITAN,15.5,21.3,27.0,79.0,6.0,7.3,180.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
28,2023-08-28,5.0,EL CAPITAN,15.8,20.1,25.0,84.0,7.0,4.7,180.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
29,2023-08-29,50.0,EL CAPITAN,15.5,20.1,25.0,83.0,8.0,6.7,180.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
30,2023-08-30,9.0,EL CAPITAN,16.0,18.0,,91.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-91.140524,14.644497,1562.0
