No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-01-09,INS200701CV,ESQUIPULAS,0.0,14.4,23.3,31.0,3.9,65.0,9.5,1.0,2.4,0.0,681.0,INSDMCL2007001CONV,14.559694,-89.341459,950.0
2,2024-01-10,INS200701CV,ESQUIPULAS,0.0,19.0,23.7,29.2,5.3,68.0,6.9,4.0,2.4,0.0,681.8,INSDMCL2007001CONV,14.559694,-89.341459,950.0
3,2024-01-11,INS200701CV,ESQUIPULAS,0.0,14.2,23.2,30.6,2.0,66.0,9.4,1.0,2.4,0.0,681.5,INSDMCL2007001CONV,14.559694,-89.341459,950.0
4,2024-01-12,INS200701CV,ESQUIPULAS,0.0,16.8,24.2,31.0,4.2,62.0,9.7,0.0,2.4,0.0,681.0,INSDMCL2007001CONV,14.559694,-89.341459,950.0
5,2024-01-13,INS200701CV,ESQUIPULAS,0.0,14.0,21.7,28.8,3.5,68.0,8.9,3.0,6.0,45.0,681.8,INSDMCL2007001CONV,14.559694,-89.341459,950.0
6,2024-01-14,INS200701CV,ESQUIPULAS,0.0,19.6,23.7,28.8,3.5,63.0,7.9,6.0,4.8,0.0,682.5,INSDMCL2007001CONV,14.559694,-89.341459,950.0
7,2024-01-15,INS200701CV,ESQUIPULAS,0.0,16.8,24.0,30.2,4.7,67.0,9.5,3.0,4.8,90.0,681.7,INSDMCL2007001CONV,14.559694,-89.341459,950.0
8,2024-01-16,INS200701CV,ESQUIPULAS,0.0,18.6,23.8,29.2,3.6,67.0,5.8,6.0,2.4,0.0,682.0,INSDMCL2007001CONV,14.559694,-89.341459,950.0
9,2024-01-17,INS200701CV,ESQUIPULAS,0.0,20.0,22.5,26.6,4.7,76.0,6.2,7.0,13.2,45.0,683.5,INSDMCL2007001CONV,14.559694,-89.341459,950.0
10,2024-01-18,INS200701CV,ESQUIPULAS,0.0,19.6,24.3,30.0,3.2,66.0,7.9,4.0,4.8,45.0,682.7,INSDMCL2007001CONV,14.559694,-89.341459,950.0
11,2024-01-19,INS200701CV,ESQUIPULAS,0.0,20.0,24.2,29.6,4.1,72.0,6.3,6.0,2.4,0.0,682.4,INSDMCL2007001CONV,14.559694,-89.341459,950.0
12,2024-01-20,INS200701CV,ESQUIPULAS,0.8,19.6,20.6,25.0,4.1,82.0,2.6,7.0,4.8,0.0,683.2,INSDMCL2007001CONV,14.559694,-89.341459,950.0
13,2024-01-21,INS200701CV,ESQUIPULAS,0.4,17.4,19.1,23.0,5.9,82.0,3.0,8.0,7.2,90.0,683.4,INSDMCL2007001CONV,14.559694,-89.341459,950.0
14,2024-01-22,INS200701CV,ESQUIPULAS,0.2,17.6,22.5,28.0,3.0,73.0,5.7,6.0,2.4,0.0,682.4,INSDMCL2007001CONV,14.559694,-89.341459,950.0
15,2024-01-23,INS200701CV,ESQUIPULAS,0.0,19.2,23.8,30.4,2.6,68.0,7.6,5.0,4.8,45.0,682.0,INSDMCL2007001CONV,14.559694,-89.341459,950.0
16,2024-01-24,INS200701CV,ESQUIPULAS,0.0,18.0,24.3,31.4,3.9,66.0,9.0,3.0,0.0,0.0,681.9,INSDMCL2007001CONV,14.559694,-89.341459,950.0
17,2024-01-25,INS200701CV,ESQUIPULAS,0.0,20.4,25.1,31.0,5.6,65.0,5.8,6.0,3.6,0.0,682.2,INSDMCL2007001CONV,14.559694,-89.341459,950.0
18,2024-01-26,INS200701CV,ESQUIPULAS,0.0,20.6,24.9,29.6,4.3,67.0,8.5,5.0,3.6,0.0,682.5,INSDMCL2007001CONV,14.559694,-89.341459,950.0
19,2024-01-27,INS200701CV,ESQUIPULAS,2.4,19.0,24.5,31.8,4.2,64.0,9.6,4.0,4.8,45.0,683.0,INSDMCL2007001CONV,14.559694,-89.341459,950.0
20,2024-01-28,INS200701CV,ESQUIPULAS,9.5,18.6,19.6,23.4,3.5,93.0,1.3,8.0,6.0,45.0,684.5,INSDMCL2007001CONV,14.559694,-89.341459,950.0
21,2024-01-29,INS200701CV,ESQUIPULAS,0.0,18.0,17.7,19.4,3.9,83.0,1.2,8.0,15.6,90.0,684.8,INSDMCL2007001CONV,14.559694,-89.341459,950.0
22,2024-01-30,INS200701CV,ESQUIPULAS,0.3,14.6,15.7,17.6,2.1,84.0,0.0,8.0,8.4,45.0,684.7,INSDMCL2007001CONV,14.559694,-89.341459,950.0
23,2024-01-31,INS200701CV,ESQUIPULAS,0.6,14.2,16.1,18.4,1.4,87.0,0.0,8.0,6.0,45.0,684.0,INSDMCL2007001CONV,14.559694,-89.341459,950.0
24,2024-02-01,INS200701CV,ESQUIPULAS,0.1,15.0,18.3,21.8,1.5,81.0,0.4,7.0,3.5,0.0,683.6,INSDMCL2007001CONV,14.559694,-89.341459,950.0
25,2024-02-02,INS200701CV,ESQUIPULAS,0.0,14.4,24.1,31.8,1.3,60.0,9.9,1.0,0.0,0.0,681.2,INSDMCL2007001CONV,14.559694,-89.341459,950.0
26,2024-02-03,INS200701CV,ESQUIPULAS,0.0,17.0,22.9,30.0,2.4,66.0,9.9,3.0,8.4,180.0,679.9,INSDMCL2007001CONV,14.559694,-89.341459,950.0
27,2024-02-04,INS200701CV,ESQUIPULAS,0.0,15.2,23.9,31.0,4.7,63.0,9.1,1.0,3.6,0.0,678.5,INSDMCL2007001CONV,14.559694,-89.341459,950.0
28,2024-02-05,INS200701CV,ESQUIPULAS,0.0,17.4,22.2,28.8,4.6,73.0,7.3,5.0,7.2,45.0,679.9,INSDMCL2007001CONV,14.559694,-89.341459,950.0
29,2024-02-06,INS200701CV,ESQUIPULAS,0.0,15.0,18.1,22.2,4.7,54.0,9.9,3.0,10.8,45.0,683.2,INSDMCL2007001CONV,14.559694,-89.341459,950.0
30,2024-02-07,INS200701CV,ESQUIPULAS,,11.4,14.4,,5.7,88.0,,6.0,0.0,0.0,683.7,INSDMCL2007001CONV,14.559694,-89.341459,950.0
