No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,rad_solar,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-01-01,INS130101CV,HUEHUETENANGO,0.0,7.4,17.5,26.6,3.2,65.0,10.0,1.0,9.9,135.0,614.6,0.9,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
2,2024-01-02,INS130101CV,HUEHUETENANGO,0.0,8.0,17.2,25.2,4.3,78.0,6.3,4.0,8.6,360.0,614.2,1.2,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
3,2024-01-03,INS130101CV,HUEHUETENANGO,0.0,9.6,19.7,29.0,5.7,70.0,8.2,7.0,3.7,0.0,613.2,0.9,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
4,2024-01-04,INS130101CV,HUEHUETENANGO,0.0,11.8,18.3,25.0,4.0,64.0,9.7,7.0,3.7,0.0,614.0,1.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
5,2024-01-05,INS130101CV,HUEHUETENANGO,0.0,9.0,19.7,29.6,2.9,65.0,9.3,3.0,9.9,9.0,612.6,0.9,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
6,2024-01-06,INS130101CV,HUEHUETENANGO,0.0,6.5,18.7,28.4,4.1,56.0,10.2,0.0,8.6,90.0,612.4,1.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
7,2024-01-07,INS130101CV,HUEHUETENANGO,0.0,4.4,16.3,26.8,6.8,62.0,8.1,2.0,9.9,90.0,613.3,1.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
8,2024-01-08,INS130101CV,HUEHUETENANGO,0.0,3.6,17.5,29.0,4.2,59.0,9.9,2.0,4.9,0.0,611.9,1.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
9,2024-01-09,INS130101CV,HUEHUETENANGO,0.0,4.8,18.3,29.0,6.1,58.0,9.8,0.0,9.9,270.0,612.4,1.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
10,2024-01-10,INS130101CV,HUEHUETENANGO,0.0,5.0,17.6,29.4,3.7,64.0,9.5,1.0,2.5,0.0,613.0,84.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
11,2024-01-11,INS130101CV,HUEHUETENANGO,0.0,6.0,19.7,30.2,5.0,58.0,9.8,2.0,3.7,0.0,612.5,1.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
12,2024-01-12,INS130101CV,HUEHUETENANGO,0.0,4.0,18.7,31.8,5.6,59.0,9.8,0.0,2.5,0.0,611.9,1.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
13,2024-01-13,INS130101CV,HUEHUETENANGO,0.0,6.0,17.5,27.4,5.2,62.0,9.7,0.0,11.1,90.0,613.1,1.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
14,2024-01-14,INS130101CV,HUEHUETENANGO,0.0,10.5,20.0,27.2,4.2,70.0,9.0,3.0,2.5,0.0,613.4,0.9,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
15,2024-01-15,INS130101CV,HUEHUETENANGO,0.0,9.4,19.9,28.6,3.9,66.0,8.6,4.0,4.9,9.0,612.6,1.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
16,2024-01-16,INS130101CV,HUEHUETENANGO,0.0,6.8,17.4,26.6,4.0,68.0,9.2,1.0,8.6,135.0,612.9,1.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
17,2024-01-17,INS130101CV,HUEHUETENANGO,0.0,7.4,17.3,25.6,4.6,66.0,7.4,2.0,13.6,45.0,614.6,1.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
18,2024-01-18,INS130101CV,HUEHUETENANGO,0.0,8.2,19.5,29.0,4.9,66.0,8.9,2.0,0.0,0.0,613.8,1.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
