No.,fecha,ID,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,rad_solar,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-05-26,INS130101CV,15.0,23.2,29.6,7.2,47.0,6.1,7.0,12.3,90.0,612.9,1.3,Huehuetenango,0.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
2,2025-05-27,INS130101CV,15.6,23.7,30.8,5.4,61.0,9.6,5.0,14.8,9.0,613.8,1.3,Huehuetenango,3.8,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
3,2025-05-28,INS130101CV,16.6,23.7,29.8,9.3,57.0,10.3,5.0,14.8,90.0,611.0,1.3,Huehuetenango,0.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
4,2025-05-29,INS130101CV,15.0,23.5,31.0,9.1,55.0,9.4,7.0,7.4,0.0,610.2,1.3,Huehuetenango,8.6,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
5,2025-05-30,INS130101CV,15.0,23.3,30.6,5.8,54.0,9.6,4.0,11.1,90.0,613.1,1.3,Huehuetenango,0.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
6,2025-05-31,INS130101CV,13.2,22.9,29.8,6.2,63.0,8.1,6.0,4.9,0.0,614.2,1.4,Huehuetenango,0.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
7,2025-06-01,INS130101CV,15.4,23.3,31.0,6.9,54.0,9.0,8.0,8.6,90.0,611.1,1.2,Huehuetenango,0.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
8,2025-06-02,INS130101CV,16.4,22.0,31.0,7.8,69.0,7.3,7.0,0.0,0.0,609.5,1.2,Huehuetenango,12.6,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
9,2025-06-03,INS130101CV,15.6,19.7,27.8,4.7,82.0,3.5,8.0,2.5,0.0,611.8,1.2,Huehuetenango,61.5,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
10,2025-06-04,INS130101CV,15.2,20.5,29.6,8.7,73.0,5.4,7.0,0.0,0.0,612.9,1.4,Huehuetenango,2.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
11,2025-06-05,INS130101CV,16.0,19.3,25.6,3.7,77.0,3.3,8.0,9.9,90.0,610.8,1.4,Huehuetenango,10.6,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
12,2025-06-06,INS130101CV,14.6,18.7,26.4,6.2,78.0,5.6,8.0,8.6,0.0,611.0,1.4,Huehuetenango,11.8,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
13,2025-06-07,INS130101CV,14.8,20.8,26.4,3.0,71.0,7.6,7.0,7.4,0.0,613.0,1.4,Huehuetenango,1.8,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
14,2025-06-08,INS130101CV,14.6,21.1,26.8,5.6,74.0,8.5,6.0,9.9,270.0,613.9,1.3,Huehuetenango,0.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
15,2025-06-09,INS130101CV,13.6,21.2,27.0,4.5,68.0,8.8,5.0,7.4,9.0,611.1,1.3,Huehuetenango,0.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
16,2025-06-10,INS130101CV,13.0,20.9,27.4,5.0,65.0,9.6,4.0,11.1,9.0,610.7,1.4,Huehuetenango,0.8,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
17,2025-06-11,INS130101CV,16.0,20.1,26.2,5.7,76.0,5.6,7.0,6.2,0.0,613.4,1.3,Huehuetenango,0.4,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
18,2025-06-12,INS130101CV,14.6,21.3,27.2,2.5,65.0,6.6,6.0,16.0,90.0,613.8,1.2,Huehuetenango,20.2,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
19,2025-06-13,INS130101CV,15.0,21.3,27.0,6.8,63.0,10.0,8.0,12.3,90.0,611.5,1.2,Huehuetenango,5.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
20,2025-06-14,INS130101CV,14.8,20.4,26.0,6.4,71.0,7.0,7.0,8.6,9.0,611.6,1.3,Huehuetenango,0.6,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
21,2025-06-15,INS130101CV,14.4,20.2,26.6,5.5,71.0,6.5,7.0,18.5,90.0,613.7,1.4,Huehuetenango,0.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
22,2025-06-16,INS130101CV,15.0,20.0,25.8,4.0,70.0,4.0,7.0,8.6,90.0,613.2,1.4,Huehuetenango,5.8,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
23,2025-06-17,INS130101CV,15.0,19.2,24.8,3.6,81.0,3.4,8.0,6.2,0.0,610.5,1.4,Huehuetenango,9.3,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
24,2025-06-18,INS130101CV,15.6,18.9,22.6,3.1,84.0,0.0,8.0,0.0,0.0,610.2,0.6,Huehuetenango,12.1,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
25,2025-06-19,INS130101CV,15.6,19.6,26.8,3.4,80.0,3.4,7.0,0.0,0.0,613.0,1.4,Huehuetenango,5.6,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
26,2025-06-20,INS130101CV,15.0,18.9,25.0,1.8,84.0,1.9,8.0,0.0,0.0,614.2,1.3,Huehuetenango,18.8,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
27,2025-06-21,INS130101CV,14.0,16.7,23.0,4.1,88.0,2.8,8.0,3.7,0.0,612.9,1.3,Huehuetenango,2.2,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
28,2025-06-22,INS130101CV,14.6,20.3,25.2,1.2,63.0,6.5,8.0,12.3,90.0,612.4,1.4,Huehuetenango,0.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
29,2025-06-23,INS130101CV,13.4,18.5,24.8,6.5,72.0,4.3,8.0,13.6,90.0,614.2,1.3,Huehuetenango,0.0,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
30,2025-06-24,INS130101CV,13.6,14.4,,3.6,90.0,,8.0,0.0,0.0,614.7,,Huehuetenango,,INSDMCL1301001CONV,15.31828,-91.502403,1870.0
