No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,eva_piche,hum_rel,bri_solar,nub,vel_viento,dir_viento,tsuelo_50,tsuelo_100,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-05-01,INS010101CV,INSIVUMEH,32.2,16.5,21.7,26.5,1.0,0.5,71.0,9.2,6.0,5.7,180.0,24.7,24.8,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
2,2025-05-02,INS010101CV,INSIVUMEH,0.0,18.2,20.6,24.2,,0.5,84.0,5.2,6.0,5.7,180.0,24.6,24.7,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
3,2025-05-03,INS010101CV,INSIVUMEH,1.8,17.1,21.5,26.1,1.2,0.5,76.0,8.9,4.0,10.7,180.0,24.5,24.6,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
4,2025-05-04,INS010101CV,INSIVUMEH,0.0,18.3,22.5,28.1,6.3,0.5,76.0,8.2,6.0,3.3,0.0,24.4,24.7,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
5,2025-05-05,INS010101CV,INSIVUMEH,0.0,19.6,23.4,28.9,3.0,2.1,77.0,5.9,7.0,2.3,180.0,24.5,24.5,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
6,2025-05-06,INS010101CV,INSIVUMEH,0.0,18.4,23.1,28.2,2.3,1.9,72.0,8.1,5.0,12.3,135.0,24.4,24.6,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
7,2025-05-07,INS010101CV,INSIVUMEH,0.0,17.8,22.4,26.8,3.0,1.7,75.0,9.1,7.0,5.3,180.0,24.4,24.4,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
8,2025-05-08,INS010101CV,INSIVUMEH,2.2,18.6,23.7,29.8,3.8,3.0,73.0,9.0,6.0,4.7,180.0,24.5,24.5,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
9,2025-05-09,INS010101CV,INSIVUMEH,3.7,19.2,20.5,23.3,2.2,2.0,85.0,2.2,8.0,2.7,180.0,24.5,24.4,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
10,2025-05-10,INS010101CV,INSIVUMEH,0.7,17.9,22.8,28.4,2.0,1.3,77.0,4.0,6.0,4.7,9.0,24.4,24.5,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
11,2025-05-11,INS010101CV,INSIVUMEH,0.0,18.3,21.8,25.0,3.8,2.2,73.0,8.7,7.0,7.8,360.0,24.4,24.5,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
12,2025-05-12,INS010101CV,INSIVUMEH,0.0,16.6,22.1,26.9,2.5,3.0,66.0,8.4,3.0,8.0,360.0,24.3,24.5,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
13,2025-05-13,INS010101CV,INSIVUMEH,15.3,17.7,24.0,30.8,4.0,2.2,62.0,,4.0,6.4,9.0,24.2,24.5,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
14,2025-05-14,INS010101CV,INSIVUMEH,0.0,17.8,21.4,26.6,3.0,2.5,79.0,2.6,7.0,4.3,180.0,23.9,24.3,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
15,2025-05-15,INS010101CV,INSIVUMEH,0.0,17.6,22.1,27.3,2.0,2.5,76.0,6.6,5.0,8.0,180.0,23.9,24.4,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
16,2025-05-16,INS010101CV,INSIVUMEH,0.0,18.6,22.5,26.6,2.0,2.2,75.0,7.9,6.0,7.5,180.0,23.5,22.8,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
17,2025-05-17,INS010101CV,INSIVUMEH,0.0,18.7,22.7,28.0,0.4,2.2,76.0,5.0,7.0,2.6,9.0,23.6,24.4,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
18,2025-05-18,INS010101CV,INSIVUMEH,0.9,18.9,22.8,27.8,1.4,3.1,76.0,7.4,6.0,7.0,180.0,24.1,24.4,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
19,2025-05-19,INS010101CV,INSIVUMEH,0.0,18.1,22.4,28.2,5.0,2.4,78.0,8.3,5.0,7.7,180.0,23.9,24.4,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
20,2025-05-20,INS010101CV,INSIVUMEH,0.0,18.6,22.9,27.6,3.0,3.3,69.0,9.4,5.0,7.4,180.0,23.9,24.3,INSDMCL0101001CONV,14.587267,-90.532679,1502.0
