No.,fecha,ID,Nombre,lluvia,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-05-16,INS122301AT,IXCHIGUAN,3.7,8.0,3.7,9.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
2,2024-05-17,INS122301AT,IXCHIGUAN,0.0,6.0,4.7,180.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
3,2024-05-18,INS122301AT,IXCHIGUAN,0.0,7.0,4.0,180.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
4,2024-05-19,INS122301AT,IXCHIGUAN,1.8,7.0,4.0,45.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
5,2024-05-20,INS122301AT,IXCHIGUAN,0.0,8.0,4.0,9.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
6,2024-05-21,INS122301AT,IXCHIGUAN,0.0,5.0,3.7,9.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
7,2024-05-22,INS122301AT,IXCHIGUAN,0.0,5.0,4.0,270.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
8,2024-05-23,INS122301AT,IXCHIGUAN,0.0,5.0,4.0,360.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
9,2024-05-24,INS122301AT,IXCHIGUAN,0.0,5.0,3.3,9.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
10,2024-05-25,INS122301AT,IXCHIGUAN,0.0,5.0,2.3,270.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
11,2024-05-26,INS122301AT,IXCHIGUAN,0.0,5.0,4.0,9.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
12,2024-05-27,INS122301AT,IXCHIGUAN,0.0,7.0,3.7,45.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
13,2024-05-28,INS122301AT,IXCHIGUAN,0.0,7.0,5.0,45.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
14,2024-05-29,INS122301AT,IXCHIGUAN,0.0,5.0,4.3,90.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
15,2024-05-30,INS122301AT,IXCHIGUAN,0.0,7.0,5.3,90.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
16,2024-05-31,INS122301AT,IXCHIGUAN,0.0,7.0,4.0,90.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
17,2024-06-01,INS122301AT,IXCHIGUAN,0.0,7.0,3.7,90.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
18,2024-06-02,INS122301AT,IXCHIGUAN,3.1,7.0,3.7,9.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
19,2024-06-03,INS122301AT,IXCHIGUAN,5.3,7.0,4.3,270.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
20,2024-06-04,INS122301AT,IXCHIGUAN,0.4,8.0,4.0,270.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
21,2024-06-05,INS122301AT,IXCHIGUAN,0.0,8.0,4.0,90.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
22,2024-06-06,INS122301AT,IXCHIGUAN,3.8,8.0,4.7,9.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
23,2024-06-07,INS122301AT,IXCHIGUAN,2.5,8.0,3.0,45.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
24,2024-06-08,INS122301AT,IXCHIGUAN,4.6,8.0,5.7,180.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
25,2024-06-09,INS122301AT,IXCHIGUAN,6.7,7.0,5.7,270.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
26,2024-06-10,INS122301AT,IXCHIGUAN,9.5,8.0,4.7,360.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
27,2024-06-11,INS122301AT,IXCHIGUAN,3.9,8.0,2.7,180.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
28,2024-06-12,INS122301AT,IXCHIGUAN,6.2,8.0,4.0,180.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
29,2024-06-13,INS122301AT,IXCHIGUAN,7.3,8.0,4.7,270.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
30,2024-06-14,INS122301AT,IXCHIGUAN,,8.0,5.0,315.0,INSDMCL1223001CONV,15.16483,-91.9395,3336.0
