No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-07-10,INS190201CV,LA FRAGUA,7.7,23.0,28.6,34.0,5.1,70.0,7.3,8.0,7.0,270.0,740.2,INSDMCL1902001CONV,14.96553,-89.58437,227.0
2,2024-07-11,INS190201CV,LA FRAGUA,0.4,22.4,27.9,33.4,4.5,72.0,7.4,8.0,3.7,45.0,741.1,INSDMCL1902001CONV,14.96553,-89.58437,227.0
3,2024-07-12,INS190201CV,LA FRAGUA,0.0,22.4,27.7,32.2,4.6,71.0,3.8,8.0,4.7,90.0,742.7,INSDMCL1902001CONV,14.96553,-89.58437,227.0
4,2024-07-13,INS190201CV,LA FRAGUA,0.2,23.6,29.3,33.2,3.6,69.0,9.3,6.0,6.7,90.0,742.8,INSDMCL1902001CONV,14.96553,-89.58437,227.0
5,2024-07-14,INS190201CV,LA FRAGUA,0.0,24.2,29.7,33.8,5.3,63.0,11.3,4.0,9.5,90.0,742.3,INSDMCL1902001CONV,14.96553,-89.58437,227.0
6,2024-07-15,INS190201CV,LA FRAGUA,0.8,23.7,29.2,33.0,6.2,68.0,7.3,6.0,9.0,90.0,742.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
7,2024-07-16,INS190201CV,LA FRAGUA,0.0,21.8,28.6,33.6,4.7,67.0,8.5,4.0,13.3,45.0,741.6,INSDMCL1902001CONV,14.96553,-89.58437,227.0
8,2024-07-17,INS190201CV,LA FRAGUA,0.0,23.1,30.4,34.0,4.4,63.0,9.5,5.0,13.3,90.0,741.4,INSDMCL1902001CONV,14.96553,-89.58437,227.0
9,2024-07-18,INS190201CV,LA FRAGUA,0.0,22.3,30.3,36.0,6.1,63.0,9.9,5.0,12.4,90.0,741.3,INSDMCL1902001CONV,14.96553,-89.58437,227.0
10,2024-07-19,INS190201CV,LA FRAGUA,0.2,24.9,29.9,35.0,6.0,63.0,5.7,8.0,10.7,45.0,741.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
11,2024-07-20,INS190201CV,LA FRAGUA,2.5,23.5,28.1,33.6,5.4,71.0,2.8,8.0,6.9,360.0,741.6,INSDMCL1902001CONV,14.96553,-89.58437,227.0
12,2024-07-21,INS190201CV,LA FRAGUA,9.6,23.2,29.2,34.0,3.0,68.0,8.2,8.0,14.3,90.0,740.8,INSDMCL1902001CONV,14.96553,-89.58437,227.0
13,2024-07-22,INS190201CV,LA FRAGUA,0.8,22.5,29.7,35.0,5.2,66.0,8.7,5.0,16.1,90.0,739.9,INSDMCL1902001CONV,14.96553,-89.58437,227.0
14,2024-07-23,INS190201CV,LA FRAGUA,0.3,23.8,30.3,35.7,5.6,59.0,10.5,4.0,12.0,45.0,741.1,INSDMCL1902001CONV,14.96553,-89.58437,227.0
15,2024-07-24,INS190201CV,LA FRAGUA,0.0,24.6,29.9,35.2,6.4,61.0,8.2,5.0,8.3,45.0,742.6,INSDMCL1902001CONV,14.96553,-89.58437,227.0
16,2024-07-25,INS190201CV,LA FRAGUA,0.0,24.0,29.5,35.8,6.0,65.0,9.6,7.0,8.3,45.0,742.3,INSDMCL1902001CONV,14.96553,-89.58437,227.0
17,2024-07-26,INS190201CV,LA FRAGUA,2.8,24.4,31.1,36.2,6.1,59.0,8.6,5.0,8.7,45.0,740.5,INSDMCL1902001CONV,14.96553,-89.58437,227.0
18,2024-07-27,INS190201CV,LA FRAGUA,2.1,23.6,29.9,35.2,6.1,62.0,10.2,6.0,8.3,90.0,740.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
19,2024-07-28,INS190201CV,LA FRAGUA,9.7,24.4,30.2,36.0,5.5,63.0,7.2,8.0,6.7,45.0,740.5,INSDMCL1902001CONV,14.96553,-89.58437,227.0
20,2024-07-29,INS190201CV,LA FRAGUA,0.8,24.0,30.2,34.8,5.4,60.0,9.1,6.0,13.0,45.0,741.1,INSDMCL1902001CONV,14.96553,-89.58437,227.0
21,2024-07-30,INS190201CV,LA FRAGUA,0.0,24.8,28.9,33.2,5.3,65.0,4.0,8.0,11.7,90.0,741.2,INSDMCL1902001CONV,14.96553,-89.58437,227.0
22,2024-07-31,INS190201CV,LA FRAGUA,0.0,24.3,30.0,35.2,4.0,61.0,9.0,8.0,17.1,90.0,740.8,INSDMCL1902001CONV,14.96553,-89.58437,227.0
23,2024-08-01,INS190201CV,LA FRAGUA,0.6,22.5,28.8,33.0,6.2,65.0,2.2,8.0,8.6,45.0,742.4,INSDMCL1902001CONV,14.96553,-89.58437,227.0
24,2024-08-02,INS190201CV,LA FRAGUA,0.0,23.0,29.7,35.6,3.3,65.0,8.8,7.0,14.6,45.0,741.8,INSDMCL1902001CONV,14.96553,-89.58437,227.0
