No.,fecha,lluvia,Nombre,nub,vel_viento,dir_viento,Fenomenos/0,Fenomenos/1,Fenomenos/2,Fenomenos/3,Fenomenos/4,Fenomenos/5,Fenomenos/6,Fenomenos/7,Fenomenos/8,Fenomenos/9,Fenomenos/10,Longitud,Latitud,Altitud
1,2023-06-25,32.9,LA REFORMA,7.0,11.7,180.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
2,2023-06-26,0.0,LA REFORMA,6.0,9.0,45.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
3,2023-06-27,26.3,LA REFORMA,8.0,7.3,9.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
4,2023-06-28,39.5,LA REFORMA,8.0,8.0,360.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
5,2023-06-29,6.3,LA REFORMA,5.0,13.3,45.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
6,2023-06-30,27.5,LA REFORMA,5.0,11.3,360.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
7,2023-07-01,7.8,LA REFORMA,5.0,20.3,9.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
8,2023-07-02,11.6,LA REFORMA,8.0,12.7,180.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
9,2023-07-03,49.8,LA REFORMA,8.0,7.3,360.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
10,2023-07-04,48.7,LA REFORMA,8.0,7.3,9.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
11,2023-07-05,40.3,LA REFORMA,6.0,15.3,270.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
12,2023-07-06,45.7,LA REFORMA,6.0,9.0,9.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
13,2023-07-07,24.8,LA REFORMA,7.0,7.3,9.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
14,2023-07-08,29.9,LA REFORMA,8.0,11.7,360.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
15,2023-07-09,14.8,LA REFORMA,7.0,9.0,360.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
16,2023-07-10,24.7,LA REFORMA,6.0,13.3,270.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
17,2023-07-11,28.6,LA REFORMA,7.0,8.3,9.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
18,2023-07-12,26.4,LA REFORMA,8.0,12.3,9.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
19,2023-07-13,40.9,LA REFORMA,8.0,7.3,360.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
20,2023-07-14,16.3,LA REFORMA,7.0,7.3,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
21,2023-07-15,0.0,LA REFORMA,7.0,11.7,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-91.8167,14.8,1133.0
22,2023-07-16,13.4,LA REFORMA,8.0,7.3,45.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-91.8167,14.8,1133.0
