No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2023-10-09,INS190901CV,LA UNION,4.2,21.0,23.9,29.0,84.0,5.0,3.3,180.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
2,2023-10-10,INS190901CV,LA UNION,14.0,20.5,24.5,27.0,86.0,5.0,2.0,360.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
3,2023-10-11,INS190901CV,LA UNION,0.0,21.5,26.3,30.5,73.0,3.0,6.0,225.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
4,2023-10-12,INS190901CV,LA UNION,0.0,22.0,25.8,30.5,72.0,4.0,4.3,225.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
5,2023-10-13,INS190901CV,LA UNION,0.0,21.5,26.2,31.5,76.0,3.0,3.7,135.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
6,2023-10-14,INS190901CV,LA UNION,1.4,22.0,25.3,29.0,87.0,4.0,3.7,180.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
7,2023-10-15,INS190901CV,LA UNION,1.7,22.5,25.4,30.0,81.0,5.0,3.7,225.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
8,2023-10-16,INS190901CV,LA UNION,0.7,21.0,21.5,23.0,86.0,8.0,3.7,90.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
9,2023-10-17,INS190901CV,LA UNION,0.0,18.5,20.1,23.5,85.0,7.0,10.3,45.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
10,2023-10-18,INS190901CV,LA UNION,0.0,18.5,20.9,25.0,79.0,7.0,8.7,360.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
11,2023-10-19,INS190901CV,LA UNION,2.8,19.0,21.1,24.0,78.0,7.0,6.7,90.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
12,2023-10-20,INS190901CV,LA UNION,0.0,19.0,21.7,24.5,81.0,8.0,4.7,135.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
13,2023-10-21,INS190901CV,LA UNION,0.0,20.0,22.8,25.5,78.0,7.0,3.0,45.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
14,2023-10-22,INS190901CV,LA UNION,0.0,18.5,23.1,27.5,78.0,4.0,3.7,225.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
15,2023-10-23,INS190901CV,LA UNION,0.0,20.0,23.2,27.0,85.0,7.0,3.3,360.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
16,2023-10-24,INS190901CV,LA UNION,9.0,20.5,24.0,27.5,86.0,7.0,3.0,360.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
17,2023-10-25,INS190901CV,LA UNION,2.6,21.0,22.8,27.0,91.0,8.0,4.7,45.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
18,2023-10-26,INS190901CV,LA UNION,17.5,21.0,22.9,25.5,90.0,7.0,4.7,225.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
19,2023-10-27,INS190901CV,LA UNION,6.0,20.5,22.2,25.5,92.0,8.0,4.3,180.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
20,2023-10-28,INS190901CV,LA UNION,4.6,20.0,21.7,25.0,89.0,7.0,3.0,225.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
21,2023-10-29,INS190901CV,LA UNION,8.0,20.0,20.7,23.0,98.0,8.0,3.7,9.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
22,2023-10-30,INS190901CV,LA UNION,1.0,19.0,21.5,24.5,88.0,6.0,5.0,90.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
23,2023-10-31,INS190901CV,LA UNION,5.3,19.5,19.9,20.5,82.0,8.0,9.3,180.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
24,2023-11-01,INS190901CV,LA UNION,3.6,17.5,20.7,23.5,81.0,8.0,5.0,9.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
25,2023-11-02,INS190901CV,LA UNION,9.9,19.5,19.5,20.5,95.0,8.0,6.0,90.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
26,2023-11-03,INS190901CV,LA UNION,2.8,18.5,19.3,20.0,90.0,8.0,7.7,180.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
27,2023-11-04,INS190901CV,LA UNION,10.8,18.5,20.5,21.5,93.0,8.0,7.0,90.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
28,2023-11-05,INS190901CV,LA UNION,54.3,20.0,20.9,22.5,93.0,8.0,9.7,90.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
29,2023-11-06,INS190901CV,LA UNION,28.6,20.0,21.0,22.5,97.0,8.0,4.8,352.5,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
30,2023-11-07,INS190901CV,LA UNION,,20.5,20.5,,93.0,8.0,7.0,70.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
