No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2023-10-24,INS090301CV,LABOR OVALLE,17.0,11.0,14.2,24.0,3.1,97.0,3.7,8.0,1.8,0.0,578.6,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
2,2023-10-25,INS090301CV,LABOR OVALLE,0.1,9.8,15.7,22.0,1.1,84.0,3.0,7.0,4.9,0.0,578.4,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
3,2023-10-26,INS090301CV,LABOR OVALLE,0.0,10.2,16.7,22.8,2.8,79.0,7.5,8.0,6.2,0.0,578.5,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
4,2023-10-27,INS090301CV,LABOR OVALLE,1.5,11.2,15.8,20.2,2.6,84.0,1.6,8.0,2.5,0.0,578.3,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
5,2023-10-28,INS090301CV,LABOR OVALLE,0.0,12.6,17.2,23.4,0.4,78.0,8.5,5.0,10.5,45.0,578.2,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
6,2023-10-29,INS090301CV,LABOR OVALLE,0.5,12.4,16.1,21.6,5.8,82.0,3.5,8.0,5.5,45.0,577.3,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
7,2023-10-30,INS090301CV,LABOR OVALLE,0.0,12.8,16.8,23.0,0.2,76.0,7.2,5.0,8.6,0.0,578.3,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
8,2023-10-31,INS090301CV,LABOR OVALLE,7.2,11.6,13.7,17.2,2.9,86.0,0.5,8.0,4.9,360.0,578.5,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
9,2023-11-01,INS090301CV,LABOR OVALLE,0.5,10.6,12.9,15.2,0.2,86.0,0.0,8.0,6.8,45.0,578.3,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
10,2023-11-02,INS090301CV,LABOR OVALLE,0.3,10.0,14.5,18.0,0.8,86.0,0.0,7.0,2.5,0.0,579.3,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
11,2023-11-03,INS090301CV,LABOR OVALLE,0.0,11.2,14.3,20.0,2.3,74.0,1.8,6.0,3.1,45.0,578.9,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
12,2023-11-04,INS090301CV,LABOR OVALLE,4.5,11.0,15.5,20.2,1.4,85.0,1.5,7.0,8.6,45.0,578.1,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
13,2023-11-05,INS090301CV,LABOR OVALLE,4.7,12.2,15.6,19.8,0.9,88.0,0.6,7.0,3.1,0.0,578.1,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
14,2023-11-06,INS090301CV,LABOR OVALLE,0.2,12.8,16.3,20.0,0.2,86.0,3.0,8.0,10.4,45.0,578.4,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
15,2023-11-07,INS090301CV,LABOR OVALLE,0.0,11.6,18.0,23.4,2.1,82.0,6.6,6.0,4.9,0.0,579.0,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
16,2023-11-08,INS090301CV,LABOR OVALLE,0.0,11.2,17.0,22.2,2.0,79.0,4.6,6.0,5.5,45.0,578.6,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
17,2023-11-09,INS090301CV,LABOR OVALLE,0.0,8.0,17.3,26.0,2.1,76.0,8.7,1.0,4.9,0.0,578.6,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
