No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,nub,vel_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-04-23,INS180201CV,LAS VEGAS PHC,0.0,21.0,28.0,33.0,83.0,7.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
2,2025-04-24,INS180201CV,LAS VEGAS PHC,0.0,22.0,27.7,33.0,86.0,6.0,5.3,INSDMCL1802001CONV,15.585416,-88.944686,10.0
3,2025-04-25,INS180201CV,LAS VEGAS PHC,0.0,22.0,27.2,32.4,84.0,7.0,5.3,INSDMCL1802001CONV,15.585416,-88.944686,10.0
4,2025-04-26,INS180201CV,LAS VEGAS PHC,0.0,21.5,27.9,33.0,85.0,7.0,3.7,INSDMCL1802001CONV,15.585416,-88.944686,10.0
5,2025-04-27,INS180201CV,LAS VEGAS PHC,0.0,20.0,26.7,32.0,87.0,6.0,3.7,INSDMCL1802001CONV,15.585416,-88.944686,10.0
6,2025-04-28,INS180201CV,LAS VEGAS PHC,0.0,21.0,27.5,33.0,86.0,6.0,3.7,INSDMCL1802001CONV,15.585416,-88.944686,10.0
7,2025-04-29,INS180201CV,LAS VEGAS PHC,0.0,21.0,28.7,34.0,82.0,5.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
8,2025-04-30,INS180201CV,LAS VEGAS PHC,0.0,22.0,28.8,34.0,85.0,5.0,3.7,INSDMCL1802001CONV,15.585416,-88.944686,10.0
9,2025-05-01,INS180201CV,LAS VEGAS PHC,0.0,22.0,29.1,34.6,83.0,4.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
10,2025-05-02,INS180201CV,LAS VEGAS PHC,0.0,21.0,28.7,34.4,84.0,5.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
11,2025-05-03,INS180201CV,LAS VEGAS PHC,0.0,23.0,29.7,35.0,86.0,5.0,3.7,INSDMCL1802001CONV,15.585416,-88.944686,10.0
12,2025-05-04,INS180201CV,LAS VEGAS PHC,0.0,24.0,29.5,36.0,82.0,5.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
13,2025-05-05,INS180201CV,LAS VEGAS PHC,0.0,23.0,29.6,36.0,86.0,5.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
14,2025-05-06,INS180201CV,LAS VEGAS PHC,0.0,24.0,30.3,36.0,82.0,5.0,3.7,INSDMCL1802001CONV,15.585416,-88.944686,10.0
15,2025-05-07,INS180201CV,LAS VEGAS PHC,0.0,24.0,31.1,37.0,84.0,5.0,3.7,INSDMCL1802001CONV,15.585416,-88.944686,10.0
16,2025-05-08,INS180201CV,LAS VEGAS PHC,0.0,24.0,31.1,38.0,83.0,5.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
17,2025-05-09,INS180201CV,LAS VEGAS PHC,17.0,24.0,31.2,38.0,85.0,5.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
18,2025-05-10,INS180201CV,LAS VEGAS PHC,0.0,20.0,28.2,33.0,85.0,7.0,3.7,INSDMCL1802001CONV,15.585416,-88.944686,10.0
19,2025-05-11,INS180201CV,LAS VEGAS PHC,0.0,21.0,27.7,33.0,85.0,7.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
20,2025-05-12,INS180201CV,LAS VEGAS PHC,0.0,21.0,28.1,33.0,84.0,7.0,3.7,INSDMCL1802001CONV,15.585416,-88.944686,10.0
21,2025-05-13,INS180201CV,LAS VEGAS PHC,0.0,22.0,29.3,34.0,85.0,7.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
22,2025-05-14,INS180201CV,LAS VEGAS PHC,0.0,23.0,30.0,35.0,83.0,7.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
23,2025-05-15,INS180201CV,LAS VEGAS PHC,0.0,23.0,30.3,36.0,84.0,7.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
24,2025-05-16,INS180201CV,LAS VEGAS PHC,0.0,23.0,30.2,37.0,81.0,7.0,3.7,INSDMCL1802001CONV,15.585416,-88.944686,10.0
25,2025-05-17,INS180201CV,LAS VEGAS PHC,0.0,24.0,32.1,38.0,85.0,7.0,3.7,INSDMCL1802001CONV,15.585416,-88.944686,10.0
26,2025-05-18,INS180201CV,LAS VEGAS PHC,0.0,24.0,32.0,38.0,81.0,7.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
27,2025-05-19,INS180201CV,LAS VEGAS PHC,0.0,24.0,32.5,39.0,82.0,7.0,3.7,INSDMCL1802001CONV,15.585416,-88.944686,10.0
28,2025-05-20,INS180201CV,LAS VEGAS PHC,0.0,24.0,32.9,39.6,79.0,7.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
29,2025-05-21,INS180201CV,LAS VEGAS PHC,0.0,24.0,32.0,38.0,85.0,7.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
30,2025-05-22,INS180201CV,LAS VEGAS PHC,,24.0,29.5,,80.0,6.0,2.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
