No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-04-13,INS090101CV,LOS ALTOS,0.0,10.4,17.2,23.6,5.9,68.0,9.4,3.0,27.1,360.0,554.7,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
2,2024-04-14,INS090101CV,LOS ALTOS,0.0,10.8,18.7,24.8,5.6,57.0,10.2,2.0,25.9,360.0,580.6,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
3,2024-04-15,INS090101CV,LOS ALTOS,0.0,5.0,18.7,28.2,4.4,63.0,11.7,1.0,11.1,45.0,579.6,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
4,2024-04-16,INS090101CV,LOS ALTOS,0.0,4.4,18.5,27.6,4.9,59.0,11.2,0.0,3.7,0.0,579.6,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
5,2024-04-17,INS090101CV,LOS ALTOS,0.0,8.0,17.8,25.6,3.9,66.0,9.7,3.0,2.5,0.0,580.0,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
6,2024-04-18,INS090101CV,LOS ALTOS,0.0,8.0,17.7,25.4,4.8,72.0,10.0,3.0,6.2,0.0,580.1,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
7,2024-04-19,INS090101CV,LOS ALTOS,0.0,11.0,18.9,27.0,5.5,69.0,9.5,3.0,3.7,0.0,580.0,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
8,2024-04-20,INS090101CV,LOS ALTOS,0.0,8.0,16.8,24.0,6.0,74.0,9.8,2.0,2.5,0.0,580.5,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
9,2024-04-21,INS090101CV,LOS ALTOS,1.0,13.0,18.5,24.8,5.3,75.0,7.8,4.0,4.9,0.0,580.0,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
10,2024-04-22,INS090101CV,LOS ALTOS,0.0,10.8,19.0,26.6,8.3,56.0,8.8,3.0,13.6,360.0,580.1,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
11,2024-04-23,INS090101CV,LOS ALTOS,0.0,10.0,19.6,26.8,4.1,51.0,9.6,3.0,13.6,360.0,580.4,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
12,2024-04-24,INS090101CV,LOS ALTOS,0.0,5.8,17.5,26.6,6.1,60.0,8.3,3.0,13.6,360.0,580.8,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
13,2024-04-25,INS090101CV,LOS ALTOS,0.0,7.6,18.5,26.0,4.6,53.0,10.5,2.0,12.3,360.0,580.0,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
14,2024-04-26,INS090101CV,LOS ALTOS,0.0,9.2,17.1,23.6,6.5,69.0,10.8,4.0,8.6,180.0,579.6,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
15,2024-04-27,INS090101CV,LOS ALTOS,0.0,12.0,18.1,24.0,3.8,66.0,6.8,7.0,11.1,135.0,579.5,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
16,2024-04-28,INS090101CV,LOS ALTOS,1.9,13.6,18.6,24.4,3.9,56.0,4.5,6.0,0.0,0.0,579.5,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
17,2024-04-29,INS090101CV,LOS ALTOS,0.0,9.6,17.3,23.4,3.9,76.0,5.7,6.0,4.9,0.0,579.5,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
18,2024-04-30,INS090101CV,LOS ALTOS,0.3,12.0,17.6,25.8,4.7,76.0,5.6,7.0,4.9,0.0,579.4,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
19,2024-05-01,INS090101CV,LOS ALTOS,0.0,10.4,17.5,24.0,5.1,73.0,9.5,5.0,2.5,0.0,579.1,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
20,2024-05-02,INS090101CV,LOS ALTOS,0.0,8.6,17.4,25.0,4.4,74.0,8.8,6.0,3.7,0.0,578.8,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
