No.,fecha,ID,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-01-02,INS190201CV,21.2,24.9,28.0,3.0,80.0,0.2,8.0,7.0,90.0,743.7,La Fragua,2.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
2,2025-01-03,INS190201CV,20.8,24.0,28.6,3.2,72.0,3.6,7.0,11.2,90.0,744.9,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
3,2025-01-04,INS190201CV,19.8,24.2,28.6,3.8,70.0,2.5,8.0,6.6,270.0,744.8,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
4,2025-01-05,INS190201CV,19.8,25.7,31.0,2.6,68.0,7.7,4.0,5.3,315.0,743.1,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
5,2025-01-06,INS190201CV,19.0,27.7,35.7,3.5,60.0,10.2,0.0,10.5,270.0,741.1,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
6,2025-01-07,INS190201CV,22.8,27.7,33.0,5.8,59.0,9.3,4.0,8.3,45.0,743.2,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
7,2025-01-08,INS190201CV,22.7,26.5,31.2,5.7,67.0,5.0,8.0,8.3,45.0,743.8,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
8,2025-01-09,INS190201CV,21.8,25.5,30.0,4.1,66.0,1.1,8.0,9.7,360.0,742.9,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
9,2025-01-10,INS190201CV,21.4,27.4,34.0,3.2,61.0,8.9,5.0,6.7,45.0,740.4,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
10,2025-01-11,INS190201CV,20.3,27.3,32.8,4.3,60.0,9.0,3.0,9.7,90.0,741.4,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
11,2025-01-12,INS190201CV,19.4,26.9,35.0,4.2,60.0,9.0,4.0,8.3,45.0,741.0,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
12,2025-01-13,INS190201CV,22.0,28.6,35.6,5.4,60.0,9.5,6.0,9.3,90.0,741.9,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
13,2025-01-14,INS190201CV,22.6,28.1,33.5,5.4,57.0,8.4,7.0,13.0,90.0,743.9,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
14,2025-01-15,INS190201CV,20.2,26.3,32.2,5.8,58.0,9.1,8.0,14.2,90.0,745.0,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
15,2025-01-16,INS190201CV,19.0,24.8,31.6,3.6,65.0,4.9,5.0,9.6,45.0,745.7,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
16,2025-01-17,INS190201CV,17.0,26.3,33.5,5.4,59.0,9.8,2.0,6.7,90.0,744.1,La Fragua,0.0,INSDMCL1902001CONV,14.96553,-89.58437,227.0
