No.,fecha,ID,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-04-16,INS190901CV,18.5,21.4,26.0,80.0,7.0,7.0,90.0,La Unión,6.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
2,2025-04-17,INS190901CV,18.0,22.4,27.5,82.0,6.0,6.0,360.0,La Unión,1.2,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
3,2025-04-18,INS190901CV,18.5,21.9,26.5,84.0,6.0,7.0,180.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
4,2025-04-19,INS190901CV,19.0,23.3,28.0,78.0,5.0,3.0,45.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
5,2025-04-20,INS190901CV,18.5,23.7,29.5,78.0,4.0,4.3,180.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
6,2025-04-21,INS190901CV,20.5,25.5,31.0,73.0,6.0,6.7,90.0,La Unión,33.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
7,2025-04-22,INS190901CV,20.0,24.1,29.0,81.0,6.0,6.3,360.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
8,2025-04-23,INS190901CV,18.5,24.6,29.0,73.0,3.0,4.0,360.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
9,2025-04-24,INS190901CV,18.0,24.5,30.0,74.0,3.0,3.3,135.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
10,2025-04-25,INS190901CV,18.0,24.0,29.0,74.0,6.0,5.0,45.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
11,2025-04-26,INS190901CV,17.5,24.0,28.0,71.0,4.0,4.3,135.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
12,2025-04-27,INS190901CV,17.0,23.5,28.5,69.0,1.0,6.0,360.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
13,2025-04-28,INS190901CV,18.5,23.9,28.5,71.0,5.0,5.3,180.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
14,2025-04-29,INS190901CV,18.5,24.2,29.0,75.0,6.0,4.0,360.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
15,2025-04-30,INS190901CV,18.0,24.7,29.0,72.0,3.0,4.3,45.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
16,2025-05-01,INS190901CV,19.0,25.1,31.5,73.0,4.0,3.7,9.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
17,2025-05-02,INS190901CV,20.0,26.2,31.5,72.0,5.0,3.3,360.0,La Unión,3.2,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
18,2025-05-03,INS190901CV,21.0,27.9,34.5,70.0,4.0,3.7,9.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
19,2025-05-04,INS190901CV,20.5,28.0,34.0,67.0,3.0,2.7,9.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
20,2025-05-05,INS190901CV,21.0,25.9,34.5,45.0,5.0,2.0,45.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
21,2025-05-06,INS190901CV,21.5,28.0,33.5,69.0,4.0,3.7,90.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
22,2025-05-07,INS190901CV,22.0,29.0,34.0,65.0,4.0,2.7,9.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
23,2025-05-08,INS190901CV,21.0,27.9,33.5,70.0,4.0,4.3,135.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
24,2025-05-09,INS190901CV,22.0,27.5,33.0,69.0,4.0,3.0,9.0,La Unión,5.8,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
25,2025-05-10,INS190901CV,21.0,26.5,33.0,67.0,5.0,3.7,90.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
26,2025-05-11,INS190901CV,20.5,23.9,27.0,72.0,6.0,8.0,360.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
27,2025-05-12,INS190901CV,20.5,24.7,27.5,68.0,6.0,7.7,360.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
28,2025-05-13,INS190901CV,19.5,26.5,32.0,71.0,3.0,3.0,9.0,La Unión,0.0,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
29,2025-05-14,INS190901CV,21.5,25.5,32.0,78.0,6.0,3.3,225.0,La Unión,36.5,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
30,2025-05-15,INS190901CV,20.0,21.0,,91.0,3.0,0.0,0.0,La Unión,,INSDMCL1909001CONV,14.9633333,-89.2911111,1000.0
