No.,fecha,ID,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-04-16,INS090301CV,11.6,18.7,27.4,4.1,55.0,7.7,5.0,6.1,9.0,579.2,Labor Ovalle,0.0,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
2,2025-04-17,INS090301CV,7.0,18.2,28.2,4.0,60.0,8.6,4.0,9.8,45.0,579.1,Labor Ovalle,0.0,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
3,2025-04-18,INS090301CV,7.8,17.5,27.8,4.8,67.0,7.8,4.0,4.3,0.0,579.1,Labor Ovalle,0.0,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
4,2025-04-19,INS090301CV,6.8,16.0,25.0,4.7,77.0,7.8,4.0,4.9,0.0,578.9,Labor Ovalle,5.9,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
5,2025-04-20,INS090301CV,12.4,17.1,23.8,3.0,76.0,7.3,5.0,5.5,0.0,579.0,Labor Ovalle,6.7,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
6,2025-04-21,INS090301CV,12.0,16.1,20.4,1.4,81.0,2.3,8.0,3.1,0.0,578.7,Labor Ovalle,8.4,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
7,2025-04-22,INS090301CV,7.8,16.7,24.0,0.3,75.0,6.4,7.0,2.5,0.0,578.2,Labor Ovalle,0.0,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
8,2025-04-23,INS090301CV,9.8,16.3,23.6,3.0,78.0,7.3,5.0,4.9,0.0,578.3,Labor Ovalle,0.0,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
9,2025-04-24,INS090301CV,6.0,16.1,23.6,1.6,74.0,9.7,3.0,6.2,180.0,578.3,Labor Ovalle,0.0,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
10,2025-04-25,INS090301CV,10.0,16.7,22.6,4.6,73.0,4.3,8.0,5.5,0.0,578.3,Labor Ovalle,0.0,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
11,2025-04-26,INS090301CV,6.8,16.5,25.0,4.3,55.0,9.2,7.0,8.6,45.0,578.3,Labor Ovalle,0.0,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
12,2025-04-27,INS090301CV,5.4,15.7,24.0,4.5,66.0,8.9,3.0,6.2,0.0,578.6,Labor Ovalle,0.0,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
13,2025-04-28,INS090301CV,5.6,16.7,25.4,1.2,61.0,9.0,3.0,4.3,0.0,579.4,Labor Ovalle,0.0,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
14,2025-04-29,INS090301CV,7.4,16.1,22.8,2.7,74.0,6.0,5.0,1.8,0.0,579.1,Labor Ovalle,0.0,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
15,2025-04-30,INS090301CV,10.4,16.7,23.0,3.1,73.0,4.6,6.0,7.4,180.0,578.5,Labor Ovalle,0.0,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
16,2025-05-01,INS090301CV,13.2,16.8,23.0,2.8,79.0,6.3,6.0,4.9,0.0,578.7,Labor Ovalle,3.2,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
17,2025-05-02,INS090301CV,11.2,16.1,22.4,2.2,81.0,4.0,7.0,6.8,0.0,578.5,Labor Ovalle,10.8,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
18,2025-05-03,INS090301CV,12.0,16.9,22.8,3.4,81.0,6.0,7.0,4.9,0.0,578.7,Labor Ovalle,2.2,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
19,2025-05-04,INS090301CV,12.4,17.0,23.4,3.3,78.0,6.0,7.0,2.5,0.0,578.7,Labor Ovalle,7.2,INSDMCL0903001CONV,14.871334,-91.514438,2380.0
