No.,fecha,ID,tmin,tseca,tmax,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-05-02,INS020301CV,16.0,22.7,29.0,7.0,0.7,0.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
2,2025-05-03,INS020301CV,16.0,21.7,29.0,5.0,0.7,0.0,Los Albores,2.3,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
3,2025-05-04,INS020301CV,15.0,21.8,31.0,6.0,0.7,0.0,Los Albores,0.8,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
4,2025-05-05,INS020301CV,17.0,24.3,33.0,4.0,1.3,9.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
5,2025-05-06,INS020301CV,17.5,25.8,33.0,3.0,0.7,0.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
6,2025-05-07,INS020301CV,19.0,25.3,32.0,6.0,1.3,9.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
7,2025-05-08,INS020301CV,17.5,25.0,31.5,4.0,0.7,0.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
8,2025-05-09,INS020301CV,17.5,23.5,28.5,5.0,0.7,0.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
9,2025-05-10,INS020301CV,18.0,22.3,30.0,6.0,1.3,180.0,Los Albores,2.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
10,2025-05-11,INS020301CV,18.5,22.0,27.0,7.0,3.0,9.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
11,2025-05-12,INS020301CV,14.5,21.0,24.5,7.0,2.0,9.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
12,2025-05-13,INS020301CV,15.0,24.3,31.0,4.0,0.7,0.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
13,2025-05-14,INS020301CV,16.5,22.0,31.0,7.0,1.3,9.0,Los Albores,13.7,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
14,2025-05-15,INS020301CV,17.0,22.2,30.0,5.0,1.3,180.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
15,2025-05-16,INS020301CV,17.5,23.5,31.0,4.0,1.3,9.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
16,2025-05-17,INS020301CV,17.5,24.7,30.0,7.0,0.7,0.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
17,2025-05-18,INS020301CV,17.0,23.2,31.0,5.0,1.3,9.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
18,2025-05-19,INS020301CV,18.0,25.5,31.0,6.0,0.7,0.0,Los Albores,13.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
19,2025-05-20,INS020301CV,20.0,25.0,31.0,4.0,0.7,0.0,Los Albores,7.9,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
20,2025-05-21,INS020301CV,18.0,24.5,31.5,5.0,0.7,0.0,Los Albores,3.1,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
21,2025-05-22,INS020301CV,17.5,24.3,30.0,4.0,5.0,9.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
22,2025-05-23,INS020301CV,16.5,22.8,28.5,5.0,0.0,0.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
23,2025-05-24,INS020301CV,17.0,24.5,30.0,4.0,3.0,9.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
24,2025-05-25,INS020301CV,17.0,23.7,29.5,4.0,1.3,9.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
25,2025-05-26,INS020301CV,17.0,24.5,30.5,6.0,0.7,0.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
26,2025-05-27,INS020301CV,18.0,25.3,32.5,2.0,3.0,9.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
27,2025-05-28,INS020301CV,17.5,24.7,29.5,4.0,1.3,9.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
28,2025-05-29,INS020301CV,17.5,23.7,29.5,4.0,0.7,0.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
29,2025-05-30,INS020301CV,17.0,22.7,29.0,5.0,0.0,0.0,Los Albores,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
30,2025-05-31,INS020301CV,17.0,24.2,,4.0,1.0,90.0,Los Albores,,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
