No.,fecha,ID,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-06-14,INS090101CV,10.0,17.2,23.2,5.0,74.0,7.8,5.0,7.4,45.0,580.9,Los Altos,0.0,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
2,2025-06-15,INS090101CV,10.8,16.7,22.0,5.6,79.0,8.3,7.0,12.3,45.0,580.7,Los Altos,1.7,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
3,2025-06-16,INS090101CV,13.2,16.5,21.6,3.0,73.0,2.6,7.0,7.4,0.0,579.4,Los Altos,4.5,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
4,2025-06-17,INS090101CV,13.4,16.7,21.6,1.9,79.0,0.5,8.0,2.5,0.0,579.0,Los Altos,13.7,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
5,2025-06-18,INS090101CV,12.2,15.8,19.6,2.4,85.0,0.0,8.0,2.5,0.0,579.6,Los Altos,3.9,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
6,2025-06-19,INS090101CV,11.0,17.2,24.2,1.1,76.0,2.9,8.0,4.9,9.0,580.3,Los Altos,0.0,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
7,2025-06-20,INS090101CV,12.6,14.1,23.0,1.8,95.0,0.7,8.0,3.7,0.0,580.6,Los Altos,26.4,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
8,2025-06-21,INS090101CV,11.4,13.7,21.4,3.2,95.0,0.0,8.0,4.9,0.0,580.6,Los Altos,16.5,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
9,2025-06-22,INS090101CV,10.4,16.5,22.0,2.0,70.0,4.7,8.0,4.9,0.0,580.7,Los Altos,0.0,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
10,2025-06-23,INS090101CV,8.8,15.3,22.0,3.9,79.0,3.0,8.0,9.9,45.0,580.4,Los Altos,0.0,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
11,2025-06-24,INS090101CV,12.0,16.5,22.2,4.4,80.0,4.3,6.0,13.6,360.0,580.2,Los Altos,0.0,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
12,2025-06-25,INS090101CV,9.6,16.3,20.4,5.1,80.0,1.7,7.0,14.8,360.0,579.6,Los Altos,0.0,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
13,2025-06-26,INS090101CV,12.6,16.6,20.4,5.8,79.0,3.0,6.0,3.7,0.0,578.8,Los Altos,7.0,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
14,2025-06-27,INS090101CV,12.0,15.7,22.4,2.9,82.0,1.3,7.0,3.7,0.0,579.5,Los Altos,8.2,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
15,2025-06-28,INS090101CV,11.6,16.1,21.6,3.0,85.0,2.0,8.0,4.9,0.0,580.4,Los Altos,6.2,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
16,2025-06-29,INS090101CV,11.8,17.0,23.0,2.2,78.0,4.8,6.0,4.9,0.0,579.9,Los Altos,4.8,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
17,2025-06-30,INS090101CV,10.0,16.5,25.2,3.2,78.0,6.0,7.0,7.4,0.0,580.1,Los Altos,4.4,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
18,2025-07-01,INS090101CV,10.6,18.7,26.0,4.2,62.0,5.2,6.0,12.3,45.0,580.6,Los Altos,0.0,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
19,2025-07-02,INS090101CV,10.6,16.8,24.8,3.4,74.0,6.3,7.0,6.2,0.0,580.6,Los Altos,0.0,INSDMCL0901001CONV,14.8599015,-91.50807279,2389.0
