No.,fecha,ID,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-01-01,INS060101CV,,,,,,,,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
2,2025-01-02,INS060101CV,17.0,24.1,29.6,82.0,7.0,2.0,180.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
3,2025-01-03,INS060101CV,16.8,25.3,31.4,74.0,5.0,3.3,270.0,Los Esclavos,1.5,INSDMCL0601001CONV,14.2528,-90.2783,737.0
4,2025-01-04,INS060101CV,14.0,24.1,31.0,80.0,3.0,4.0,180.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
5,2025-01-05,INS060101CV,14.6,23.9,31.8,80.0,4.0,4.0,90.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
6,2025-01-06,INS060101CV,15.2,25.3,33.4,80.0,3.0,2.7,90.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
7,2025-01-07,INS060101CV,14.0,25.7,33.6,82.0,4.0,2.0,9.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
8,2025-01-08,INS060101CV,14.6,26.1,33.0,80.0,5.0,3.3,90.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
9,2025-01-09,INS060101CV,15.8,25.2,33.0,81.0,6.0,2.7,180.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
10,2025-01-10,INS060101CV,15.2,24.6,32.2,78.0,5.0,6.0,90.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
11,2025-01-11,INS060101CV,16.8,24.3,31.4,81.0,4.0,5.3,90.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
12,2025-01-12,INS060101CV,16.0,23.6,30.8,81.0,5.0,4.0,9.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
13,2025-01-13,INS060101CV,17.2,24.7,32.0,84.0,5.0,5.3,180.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
14,2025-01-14,INS060101CV,17.0,25.4,33.0,80.0,7.0,4.0,9.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
15,2025-01-15,INS060101CV,12.4,24.3,34.0,72.0,8.0,4.0,360.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
16,2025-01-16,INS060101CV,15.0,24.2,33.2,75.0,5.0,4.7,90.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
17,2025-01-17,INS060101CV,14.6,24.4,33.8,76.0,1.0,3.3,270.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
18,2025-01-18,INS060101CV,16.0,24.4,32.8,76.0,3.0,4.7,360.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
19,2025-01-19,INS060101CV,19.6,25.9,33.0,74.0,7.0,7.3,9.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
20,2025-01-20,INS060101CV,18.4,25.4,33.4,78.0,8.0,4.7,9.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
21,2025-01-21,INS060101CV,16.0,24.8,34.2,78.0,7.0,3.3,9.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
22,2025-01-22,INS060101CV,22.2,27.3,34.8,64.0,3.0,8.0,90.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
23,2025-01-23,INS060101CV,15.0,24.3,33.0,72.0,8.0,12.0,360.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
24,2025-01-24,INS060101CV,14.8,25.0,34.6,70.0,8.0,4.0,9.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
25,2025-01-25,INS060101CV,21.2,27.4,33.4,65.0,1.0,3.3,9.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
26,2025-01-26,INS060101CV,15.0,24.7,32.2,72.0,2.0,14.7,9.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
27,2025-01-27,INS060101CV,17.0,25.7,34.0,79.0,6.0,10.7,90.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
28,2025-01-28,INS060101CV,15.6,25.8,35.4,76.0,6.0,2.7,90.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
29,2025-01-29,INS060101CV,16.6,25.1,34.8,83.0,4.0,8.7,360.0,Los Esclavos,0.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
30,2025-01-30,INS060101CV,20.0,20.2,,91.0,8.0,2.0,90.0,Los Esclavos,,INSDMCL0601001CONV,14.2528,-90.2783,737.0
