No.,fecha,ID,Nombre,lluvia,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-12-04,INS180501AT,MARISCOS,29.0,8.0,2.7,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
2,2024-12-05,INS180501AT,MARISCOS,9.6,8.0,2.0,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
3,2024-12-06,INS180501AT,MARISCOS,8.2,8.0,2.0,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
4,2024-12-07,INS180501AT,MARISCOS,10.5,8.0,2.3,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
5,2024-12-08,INS180501AT,MARISCOS,8.7,8.0,2.0,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
6,2024-12-09,INS180501AT,MARISCOS,3.1,8.0,2.0,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
7,2024-12-10,INS180501AT,MARISCOS,0.0,6.0,2.0,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
8,2024-12-11,INS180501AT,MARISCOS,21.7,6.0,2.3,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
9,2024-12-12,INS180501AT,MARISCOS,35.2,8.0,3.0,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
10,2024-12-13,INS180501AT,MARISCOS,18.1,8.0,2.3,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
11,2024-12-14,INS180501AT,MARISCOS,33.1,8.0,2.0,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
12,2024-12-15,INS180501AT,MARISCOS,18.0,8.0,2.7,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
13,2024-12-16,INS180501AT,MARISCOS,0.1,8.0,2.0,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
14,2024-12-17,INS180501AT,MARISCOS,0.5,8.0,2.0,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
15,2024-12-18,INS180501AT,MARISCOS,1.1,8.0,2.0,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
16,2024-12-19,INS180501AT,MARISCOS,6.3,8.0,2.0,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
17,2024-12-20,INS180501AT,MARISCOS,13.4,8.0,2.3,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
18,2024-12-21,INS180501AT,MARISCOS,,8.0,2.0,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
19,2025-01-01,INS180501AT,MARISCOS,55.0,,,,INSDMCL1805001CONV,15.42866,-89.07781,16.0
20,2025-01-02,INS180501AT,MARISCOS,,8.0,2.0,90.0,INSDMCL1805001CONV,15.42866,-89.07781,16.0
