No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-10-26,INS221401CV,MONTUFAR,0.0,25.0,31.3,35.4,9.1,80.0,3.9,8.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
2,2024-10-27,INS221401CV,MONTUFAR,0.0,25.2,32.2,37.2,5.0,77.0,8.8,2.0,2.7,9.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
3,2024-10-28,INS221401CV,MONTUFAR,0.0,25.4,31.9,36.8,8.0,79.0,8.2,3.0,2.7,9.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
4,2024-10-29,INS221401CV,MONTUFAR,0.0,24.0,30.5,35.8,5.0,82.0,8.7,3.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
5,2024-10-30,INS221401CV,MONTUFAR,0.0,24.2,30.4,35.8,5.0,158.0,8.6,3.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
6,2024-10-31,INS221401CV,MONTUFAR,0.0,23.6,29.3,36.0,6.0,83.0,8.0,6.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
7,2024-11-01,INS221401CV,MONTUFAR,0.0,23.4,27.9,31.8,7.4,89.0,0.0,8.0,0.0,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
8,2024-11-02,INS221401CV,MONTUFAR,9.5,23.6,27.9,32.0,4.0,86.0,3.3,8.0,2.5,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
9,2024-11-03,INS221401CV,MONTUFAR,0.0,22.6,29.2,34.8,2.5,81.0,8.0,3.0,2.5,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
10,2024-11-04,INS221401CV,MONTUFAR,0.0,23.6,29.0,33.8,2.5,88.0,6.6,8.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
11,2024-11-05,INS221401CV,MONTUFAR,11.3,22.6,29.1,34.8,3.5,87.0,7.9,6.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
12,2024-11-06,INS221401CV,MONTUFAR,0.0,22.6,28.1,34.8,5.3,85.0,5.1,5.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
13,2024-11-07,INS221401CV,MONTUFAR,0.0,22.6,28.2,33.6,3.0,91.0,7.1,5.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
14,2024-11-08,INS221401CV,MONTUFAR,66.7,22.4,28.1,33.8,4.0,91.0,8.2,5.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
15,2024-11-09,INS221401CV,MONTUFAR,0.0,22.2,28.6,33.6,,83.0,6.1,2.0,2.5,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
16,2024-11-10,INS221401CV,MONTUFAR,0.0,22.2,28.1,34.0,3.0,85.0,7.7,3.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
17,2024-11-11,INS221401CV,MONTUFAR,0.0,22.2,27.7,35.0,3.5,93.0,6.2,8.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
18,2024-11-12,INS221401CV,MONTUFAR,0.0,22.4,27.9,34.0,3.5,89.0,6.1,5.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
19,2024-11-13,INS221401CV,MONTUFAR,0.0,22.4,28.5,32.6,3.0,89.0,6.0,8.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
20,2024-11-14,INS221401CV,MONTUFAR,0.0,22.4,28.3,34.6,2.0,70.0,6.9,6.0,0.0,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
21,2024-11-15,INS221401CV,MONTUFAR,35.8,22.4,27.5,33.0,4.6,87.0,4.2,8.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
22,2024-11-16,INS221401CV,MONTUFAR,22.2,22.4,27.3,31.0,,93.0,0.1,8.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
23,2024-11-17,INS221401CV,MONTUFAR,15.6,22.2,26.0,31.2,,88.0,0.2,8.0,0.0,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
24,2024-11-18,INS221401CV,MONTUFAR,58.0,22.2,25.0,26.2,3.1,89.0,0.0,8.0,0.0,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
25,2024-11-19,INS221401CV,MONTUFAR,0.9,22.2,26.5,30.0,,70.0,2.4,8.0,0.0,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
26,2024-11-20,INS221401CV,MONTUFAR,0.0,22.2,28.3,32.4,3.9,87.0,5.8,4.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
27,2024-11-21,INS221401CV,MONTUFAR,0.0,22.2,29.0,33.2,2.0,91.0,7.8,7.0,1.3,0.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
28,2024-11-22,INS221401CV,MONTUFAR,0.0,22.2,27.7,34.0,1.2,87.0,8.3,2.0,8.0,50.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
29,2024-11-23,INS221401CV,MONTUFAR,0.0,22.4,28.9,34.0,9.0,87.0,8.5,2.0,4.7,45.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
30,2024-11-24,INS221401CV,MONTUFAR,,23.0,28.3,,5.0,60.0,,0.0,4.0,115.0,INSDMCL2214001CONV,13.80853,-90.15446,29.0
