No.,fecha,ID,Nombre,lluvia,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2023-12-14,INS180401AT,MORALES MET,1.2,7.0,2.3,270.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
2,2023-12-15,INS180401AT,MORALES MET,0.0,6.0,2.3,9.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
3,2023-12-16,INS180401AT,MORALES MET,0.0,8.0,2.0,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
4,2023-12-17,INS180401AT,MORALES MET,0.0,7.0,4.0,9.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
5,2023-12-18,INS180401AT,MORALES MET,0.0,3.0,4.3,270.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
6,2023-12-19,INS180401AT,MORALES MET,0.0,6.0,4.3,9.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
7,2023-12-20,INS180401AT,MORALES MET,0.0,6.0,2.7,9.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
8,2023-12-21,INS180401AT,MORALES MET,6.4,8.0,1.0,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
9,2023-12-22,INS180401AT,MORALES MET,13.9,8.0,2.7,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
10,2023-12-23,INS180401AT,MORALES MET,0.0,8.0,2.7,270.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
11,2023-12-24,INS180401AT,MORALES MET,0.0,3.0,4.7,9.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
12,2023-12-25,INS180401AT,MORALES MET,0.0,3.0,2.7,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
13,2023-12-26,INS180401AT,MORALES MET,0.0,4.0,3.7,9.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
14,2023-12-27,INS180401AT,MORALES MET,0.0,4.0,3.3,9.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
15,2023-12-28,INS180401AT,MORALES MET,0.0,4.0,3.7,9.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
16,2023-12-29,INS180401AT,MORALES MET,4.1,8.0,2.7,360.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
17,2023-12-30,INS180401AT,MORALES MET,0.3,8.0,4.3,360.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
18,2023-12-31,INS180401AT,MORALES MET,0.0,8.0,1.7,360.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
19,2024-01-01,INS180401AT,MORALES MET,1.7,8.0,2.3,360.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
20,2024-01-02,INS180401AT,MORALES MET,0.0,7.0,3.3,45.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
21,2024-01-03,INS180401AT,MORALES MET,0.0,4.0,3.7,9.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
22,2024-01-04,INS180401AT,MORALES MET,0.0,5.0,2.7,9.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
23,2024-01-05,INS180401AT,MORALES MET,0.0,0.0,4.7,360.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
24,2024-01-06,INS180401AT,MORALES MET,0.0,1.0,10.7,360.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
25,2024-01-07,INS180401AT,MORALES MET,0.0,3.0,3.0,9.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
26,2024-01-08,INS180401AT,MORALES MET,0.0,2.0,4.0,360.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
27,2024-01-09,INS180401AT,MORALES MET,0.0,1.0,4.3,45.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
28,2024-01-10,INS180401AT,MORALES MET,0.0,4.0,3.0,9.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
29,2024-01-11,INS180401AT,MORALES MET,0.0,0.0,4.7,360.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
30,2024-01-12,INS180401AT,MORALES MET,,2.0,3.0,180.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
