No.,fecha,ID,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-01-08,INS100101CV,20.0,26.7,32.0,79.0,7.0,11.7,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
2,2025-01-09,INS100101CV,20.0,26.2,32.0,84.0,7.0,11.3,225.0,Mazatenango,0.2,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
3,2025-01-10,INS100101CV,20.0,26.7,32.4,81.0,7.0,11.0,9.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
4,2025-01-11,INS100101CV,20.5,27.2,32.4,81.0,7.0,11.0,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
5,2025-01-12,INS100101CV,21.0,26.8,32.4,80.0,7.0,11.0,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
6,2025-01-13,INS100101CV,20.0,26.4,32.0,82.0,7.0,12.0,9.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
7,2025-01-14,INS100101CV,21.0,27.1,31.8,81.0,7.0,12.0,9.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
8,2025-01-15,INS100101CV,18.0,26.1,32.2,82.0,8.0,11.3,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
9,2025-01-16,INS100101CV,19.5,26.9,32.8,81.0,8.0,11.3,270.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
10,2025-01-17,INS100101CV,18.0,26.0,32.6,80.0,7.0,11.3,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
11,2025-01-18,INS100101CV,18.0,26.3,32.8,80.0,7.0,11.3,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
12,2025-01-19,INS100101CV,19.5,27.2,33.0,81.0,7.0,11.3,9.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
13,2025-01-20,INS100101CV,20.5,27.9,33.0,82.0,6.0,12.7,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
14,2025-01-21,INS100101CV,18.0,26.5,33.0,82.0,7.0,12.7,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
15,2025-01-22,INS100101CV,19.5,27.0,33.2,79.0,7.0,11.7,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
16,2025-01-23,INS100101CV,19.0,26.6,33.0,80.0,7.0,11.7,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
17,2025-01-24,INS100101CV,18.0,26.4,33.4,78.0,7.0,10.3,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
18,2025-01-25,INS100101CV,20.5,27.1,33.6,80.0,6.0,11.7,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
19,2025-01-26,INS100101CV,20.0,27.2,33.6,78.0,7.0,11.0,9.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
20,2025-01-27,INS100101CV,20.5,27.5,34.0,80.0,7.0,12.7,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
21,2025-01-28,INS100101CV,19.5,27.1,33.6,80.0,7.0,11.7,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
22,2025-01-29,INS100101CV,20.0,27.4,34.6,79.0,7.0,12.3,225.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
23,2025-01-30,INS100101CV,20.5,27.6,34.0,80.0,8.0,11.0,9.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
24,2025-01-31,INS100101CV,20.5,27.9,34.0,80.0,7.0,11.7,180.0,Mazatenango,2.2,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
25,2025-02-01,INS100101CV,20.0,27.8,34.6,77.0,7.0,12.7,180.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
26,2025-02-02,INS100101CV,19.5,27.2,34.8,81.0,7.0,13.3,180.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
27,2025-02-03,INS100101CV,21.0,27.1,33.2,84.0,7.0,11.0,225.0,Mazatenango,13.6,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
28,2025-02-04,INS100101CV,19.0,26.9,34.8,79.0,7.0,13.3,180.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
29,2025-02-05,INS100101CV,20.5,27.5,33.8,79.0,7.0,11.0,180.0,Mazatenango,0.0,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
30,2025-02-06,INS100101CV,20.5,21.2,,90.0,8.0,7.0,360.0,Mazatenango,,INSDMCL1001001CONV,14.5283333,-91.5027778,352.0
