No.,fecha,ID,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-01-22,INS180401AT,8.0,6.7,315.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
2,2025-01-23,INS180401AT,8.0,3.7,270.0,Morales Met,0.2,INSDMCL1804001CONV,15.478211,-88.823711,123.0
3,2025-01-24,INS180401AT,8.0,5.7,270.0,Morales Met,39.2,INSDMCL1804001CONV,15.478211,-88.823711,123.0
4,2025-01-25,INS180401AT,8.0,6.3,315.0,Morales Met,1.7,INSDMCL1804001CONV,15.478211,-88.823711,123.0
5,2025-01-26,INS180401AT,8.0,2.7,225.0,Morales Met,17.1,INSDMCL1804001CONV,15.478211,-88.823711,123.0
6,2025-01-27,INS180401AT,7.0,3.7,315.0,Morales Met,0.6,INSDMCL1804001CONV,15.478211,-88.823711,123.0
7,2025-01-28,INS180401AT,8.0,4.0,9.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
8,2025-01-29,INS180401AT,4.0,5.3,9.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
9,2025-01-30,INS180401AT,2.0,6.7,315.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
10,2025-01-31,INS180401AT,3.0,3.7,360.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
11,2025-02-01,INS180401AT,4.0,6.0,360.0,Morales Met,22.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
12,2025-02-02,INS180401AT,8.0,5.0,9.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
13,2025-02-03,INS180401AT,4.0,4.3,360.0,Morales Met,0.3,INSDMCL1804001CONV,15.478211,-88.823711,123.0
14,2025-02-04,INS180401AT,5.0,5.3,360.0,Morales Met,4.2,INSDMCL1804001CONV,15.478211,-88.823711,123.0
15,2025-02-05,INS180401AT,5.0,3.7,9.0,Morales Met,3.3,INSDMCL1804001CONV,15.478211,-88.823711,123.0
16,2025-02-06,INS180401AT,4.0,6.0,9.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
17,2025-02-07,INS180401AT,6.0,4.7,9.0,Morales Met,9.6,INSDMCL1804001CONV,15.478211,-88.823711,123.0
18,2025-02-08,INS180401AT,7.0,5.7,270.0,Morales Met,5.2,INSDMCL1804001CONV,15.478211,-88.823711,123.0
19,2025-02-09,INS180401AT,4.0,5.3,9.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
20,2025-02-10,INS180401AT,8.0,5.0,315.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
21,2025-02-11,INS180401AT,5.0,3.7,315.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
22,2025-02-12,INS180401AT,1.0,7.7,45.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
23,2025-02-13,INS180401AT,0.0,5.3,9.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
24,2025-02-14,INS180401AT,4.0,4.3,9.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
25,2025-02-15,INS180401AT,4.0,5.7,9.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
26,2025-02-16,INS180401AT,2.0,4.3,45.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
27,2025-02-17,INS180401AT,6.0,4.3,360.0,Morales Met,0.3,INSDMCL1804001CONV,15.478211,-88.823711,123.0
28,2025-02-18,INS180401AT,6.0,4.3,9.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
29,2025-02-19,INS180401AT,2.0,3.7,45.0,Morales Met,0.0,INSDMCL1804001CONV,15.478211,-88.823711,123.0
30,2025-02-20,INS180401AT,4.0,3.0,315.0,Morales Met,,INSDMCL1804001CONV,15.478211,-88.823711,123.0
