No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-04-03,INS160701CV,PANZOS PHC ALTA VERAPAZ,0.0,22.6,29.9,41.4,87.0,5.0,6.7,180.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
2,2024-04-04,INS160701CV,PANZOS PHC ALTA VERAPAZ,0.0,21.8,28.5,38.8,90.0,7.0,9.0,180.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
3,2024-04-05,INS160701CV,PANZOS PHC ALTA VERAPAZ,0.0,21.4,28.2,36.6,90.0,7.0,7.0,180.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
4,2024-04-06,INS160701CV,PANZOS PHC ALTA VERAPAZ,0.0,21.6,28.1,36.8,90.0,7.0,7.0,180.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
5,2024-04-07,INS160701CV,PANZOS PHC ALTA VERAPAZ,0.0,22.2,29.2,37.4,88.0,6.0,7.0,180.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
6,2024-04-08,INS160701CV,PANZOS PHC ALTA VERAPAZ,0.0,21.6,29.3,38.6,88.0,6.0,7.0,180.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
7,2024-04-09,INS160701CV,PANZOS PHC ALTA VERAPAZ,0.0,22.2,29.9,39.2,87.0,5.0,2.3,0.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
8,2024-04-10,INS160701CV,PANZOS PHC ALTA VERAPAZ,0.0,22.6,30.0,40.8,88.0,5.0,2.3,0.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
9,2024-04-11,INS160701CV,PANZOS PHC ALTA VERAPAZ,0.0,23.2,29.9,41.4,87.0,5.0,7.0,180.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
10,2024-04-12,INS160701CV,PANZOS PHC ALTA VERAPAZ,0.0,21.6,27.9,35.8,90.0,7.0,11.0,180.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
11,2024-04-13,INS160701CV,PANZOS PHC ALTA VERAPAZ,0.0,21.2,27.8,34.4,92.0,7.0,7.0,180.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
