No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_piche,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-09-25,INS190301CV,PASABIEN,11.5,18.8,28.5,33.2,1.5,79.0,8.0,2.0,360.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
2,2024-09-26,INS190301CV,PASABIEN,31.0,19.6,27.6,33.0,1.0,80.0,7.0,1.7,360.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
3,2024-09-27,INS190301CV,PASABIEN,0.0,18.6,27.8,32.8,1.5,78.0,8.0,2.3,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
4,2024-09-28,INS190301CV,PASABIEN,0.0,18.8,27.9,32.6,1.5,76.0,8.0,2.0,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
5,2024-09-29,INS190301CV,PASABIEN,3.2,19.0,30.0,34.8,2.0,71.0,5.0,2.3,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
6,2024-09-30,INS190301CV,PASABIEN,17.0,19.2,29.3,34.4,2.5,75.0,6.0,3.3,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
7,2024-10-01,INS190301CV,PASABIEN,0.0,19.8,29.4,35.0,1.5,77.0,6.0,2.3,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
8,2024-10-02,INS190301CV,PASABIEN,49.5,20.4,29.7,33.8,1.5,76.0,7.0,2.0,360.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
9,2024-10-03,INS190301CV,PASABIEN,1.2,19.6,27.3,32.2,2.0,81.0,8.0,2.0,360.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
10,2024-10-04,INS190301CV,PASABIEN,1.6,19.4,28.7,34.0,1.0,74.0,5.0,2.3,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
11,2024-10-05,INS190301CV,PASABIEN,0.0,19.4,28.2,33.6,1.5,77.0,7.0,2.7,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
12,2024-10-06,INS190301CV,PASABIEN,70.0,19.0,29.1,34.4,2.0,74.0,6.0,3.0,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
13,2024-10-07,INS190301CV,PASABIEN,74.2,18.0,28.8,35.2,2.0,79.0,3.0,1.3,360.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
14,2024-10-08,INS190301CV,PASABIEN,0.0,19.0,28.5,33.4,1.5,79.0,7.0,1.3,360.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
15,2024-10-09,INS190301CV,PASABIEN,0.0,19.6,28.5,35.0,2.0,78.0,3.0,2.0,360.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
16,2024-10-10,INS190301CV,PASABIEN,0.0,18.6,27.4,32.6,2.0,81.0,6.0,3.0,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
17,2024-10-11,INS190301CV,PASABIEN,0.0,18.4,26.7,31.6,2.5,76.0,6.0,3.3,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
18,2024-10-12,INS190301CV,PASABIEN,0.0,17.8,26.0,30.2,1.5,76.0,7.0,2.7,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
19,2024-10-13,INS190301CV,PASABIEN,0.0,18.0,26.0,30.2,1.5,76.0,8.0,2.3,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
20,2024-10-14,INS190301CV,PASABIEN,0.0,17.0,26.6,31.4,1.5,77.0,4.0,3.7,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
21,2024-10-15,INS190301CV,PASABIEN,0.0,17.6,26.9,32.0,1.5,83.0,4.0,3.3,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
22,2024-10-16,INS190301CV,PASABIEN,1.0,18.4,27.9,32.4,2.0,81.0,5.0,2.7,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
23,2024-10-17,INS190301CV,PASABIEN,0.7,20.2,27.6,31.6,2.0,81.0,5.0,2.7,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
24,2024-10-18,INS190301CV,PASABIEN,0.0,20.0,28.1,32.2,1.5,77.0,7.0,2.3,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
25,2024-10-19,INS190301CV,PASABIEN,0.0,19.6,27.2,31.2,1.5,77.0,8.0,1.7,360.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
26,2024-10-20,INS190301CV,PASABIEN,0.0,20.0,27.7,32.6,1.0,77.0,6.0,2.3,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
27,2024-10-21,INS190301CV,PASABIEN,0.0,20.0,27.7,31.8,1.5,82.0,6.0,2.3,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
28,2024-10-22,INS190301CV,PASABIEN,0.0,20.6,28.5,33.0,1.5,80.0,6.0,3.0,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
29,2024-10-23,INS190301CV,PASABIEN,0.0,19.4,27.3,31.2,1.5,74.0,7.0,2.3,360.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
30,2024-10-24,INS190301CV,PASABIEN,,19.4,26.7,,2.0,76.0,5.0,4.5,45.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
