No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2023-10-09,INS171201CV,POPTUN,5.9,21.6,27.7,30.6,84.0,6.0,7.4,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
2,2023-10-10,INS171201CV,POPTUN,0.7,23.0,27.1,30.6,89.0,6.0,7.4,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
3,2023-10-11,INS171201CV,POPTUN,0.0,23.0,29.3,32.4,82.0,7.0,11.1,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
4,2023-10-12,INS171201CV,POPTUN,28.0,24.4,30.6,35.0,79.0,5.0,7.4,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
5,2023-10-13,INS171201CV,POPTUN,0.0,22.8,29.9,33.6,79.0,4.0,7.4,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
6,2023-10-14,INS171201CV,POPTUN,15.0,23.8,24.9,31.0,93.0,8.0,7.4,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
7,2023-10-15,INS171201CV,POPTUN,51.2,22.6,25.3,29.0,89.0,7.0,14.9,360.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
8,2023-10-16,INS171201CV,POPTUN,6.0,20.5,22.9,26.8,90.0,7.0,7.4,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
9,2023-10-17,INS171201CV,POPTUN,0.0,19.4,23.4,26.6,80.0,5.0,4.9,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
10,2023-10-18,INS171201CV,POPTUN,0.0,19.0,22.6,25.4,86.0,5.0,2.5,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
11,2023-10-19,INS171201CV,POPTUN,0.0,20.4,24.0,26.4,78.0,8.0,4.9,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
12,2023-10-20,INS171201CV,POPTUN,6.0,20.6,23.2,26.4,89.0,8.0,4.9,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
13,2023-10-21,INS171201CV,POPTUN,0.0,21.0,24.9,27.8,85.0,5.0,7.4,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
14,2023-10-22,INS171201CV,POPTUN,0.0,21.0,24.1,29.2,86.0,5.0,4.9,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
15,2023-10-23,INS171201CV,POPTUN,0.0,19.0,26.7,30.6,80.0,4.0,9.9,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
16,2023-10-24,INS171201CV,POPTUN,7.0,19.0,25.9,30.0,86.0,7.0,7.4,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
17,2023-10-25,INS171201CV,POPTUN,0.4,22.0,24.1,27.0,88.0,8.0,8.6,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
18,2023-10-26,INS171201CV,POPTUN,46.5,21.0,23.7,27.6,94.0,8.0,7.4,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
19,2023-10-27,INS171201CV,POPTUN,39.5,21.6,22.7,27.6,95.0,8.0,7.4,9.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
20,2023-10-28,INS171201CV,POPTUN,28.3,21.0,24.2,27.6,91.0,8.0,7.4,360.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
21,2023-10-29,INS171201CV,POPTUN,16.0,21.0,22.6,24.4,95.0,8.0,7.4,9.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
22,2023-10-30,INS171201CV,POPTUN,0.0,20.0,23.6,28.6,90.0,5.0,4.9,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
23,2023-10-31,INS171201CV,POPTUN,2.0,21.2,22.8,26.0,93.0,8.0,6.2,90.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
24,2023-11-01,INS171201CV,POPTUN,10.4,20.0,21.0,22.0,98.0,8.0,4.9,270.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
25,2023-11-02,INS171201CV,POPTUN,17.1,20.0,20.9,21.0,99.0,8.0,7.4,270.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
26,2023-11-03,INS171201CV,POPTUN,16.5,20.0,20.9,22.0,94.0,8.0,4.9,270.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
27,2023-11-04,INS171201CV,POPTUN,49.0,20.8,22.2,23.2,99.0,8.0,7.4,270.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
28,2023-11-05,INS171201CV,POPTUN,5.2,20.5,22.4,23.6,98.0,7.0,4.9,270.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
29,2023-11-06,INS171201CV,POPTUN,52.0,21.6,22.6,23.6,96.0,8.0,7.4,360.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
30,2023-11-07,INS171201CV,POPTUN,,21.4,22.6,,95.0,8.0,7.4,180.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
