No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2023-10-10,INS210101CV,POTRERO CARRILLO,9.7,14.4,20.4,26.0,82.0,5.0,2.3,9.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
2,2023-10-11,INS210101CV,POTRERO CARRILLO,0.0,16.0,19.7,25.4,90.0,5.0,2.3,9.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
3,2023-10-12,INS210101CV,POTRERO CARRILLO,0.0,14.8,20.0,26.0,85.0,7.0,2.3,180.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
4,2023-10-13,INS210101CV,POTRERO CARRILLO,0.0,14.4,20.0,27.4,85.0,3.0,2.3,180.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
5,2023-10-14,INS210101CV,POTRERO CARRILLO,2.6,13.6,18.6,26.4,90.0,4.0,2.3,180.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
6,2023-10-15,INS210101CV,POTRERO CARRILLO,0.0,14.6,19.7,27.2,88.0,5.0,3.7,180.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
7,2023-10-16,INS210101CV,POTRERO CARRILLO,0.7,14.4,17.3,25.8,93.0,7.0,2.3,9.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
8,2023-10-17,INS210101CV,POTRERO CARRILLO,0.0,11.6,15.4,19.2,89.0,8.0,7.0,180.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
9,2023-10-18,INS210101CV,POTRERO CARRILLO,0.0,11.0,16.3,21.2,88.0,8.0,5.7,45.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
10,2023-10-19,INS210101CV,POTRERO CARRILLO,0.0,13.8,16.4,22.4,91.0,7.0,3.7,9.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
11,2023-10-20,INS210101CV,POTRERO CARRILLO,0.0,14.6,19.0,24.2,83.0,7.0,7.0,360.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
12,2023-10-21,INS210101CV,POTRERO CARRILLO,0.0,14.2,17.2,23.2,90.0,8.0,7.0,45.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
13,2023-10-22,INS210101CV,POTRERO CARRILLO,0.0,12.6,18.3,24.2,83.0,4.0,2.3,9.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
14,2023-10-23,INS210101CV,POTRERO CARRILLO,0.2,12.6,18.2,23.6,89.0,5.0,1.0,360.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
15,2023-10-24,INS210101CV,POTRERO CARRILLO,0.0,10.8,17.3,25.4,86.0,3.0,3.7,45.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
16,2023-10-25,INS210101CV,POTRERO CARRILLO,0.0,12.6,18.7,23.4,87.0,6.0,3.7,9.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
17,2023-10-26,INS210101CV,POTRERO CARRILLO,0.1,10.6,18.5,23.8,88.0,6.0,5.0,90.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
18,2023-10-27,INS210101CV,POTRERO CARRILLO,1.6,15.0,18.7,24.0,87.0,5.0,7.0,180.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
19,2023-10-28,INS210101CV,POTRERO CARRILLO,2.8,14.4,16.7,20.6,92.0,8.0,2.3,315.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
20,2023-10-29,INS210101CV,POTRERO CARRILLO,3.1,14.6,17.1,21.2,94.0,8.0,3.7,90.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
21,2023-10-30,INS210101CV,POTRERO CARRILLO,0.0,12.4,16.5,23.4,89.0,6.0,3.7,45.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
22,2023-10-31,INS210101CV,POTRERO CARRILLO,15.4,11.6,14.7,20.4,92.0,8.0,5.7,135.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
23,2023-11-01,INS210101CV,POTRERO CARRILLO,0.0,12.0,14.9,19.2,90.0,8.0,3.7,360.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
24,2023-11-02,INS210101CV,POTRERO CARRILLO,0.0,11.6,15.4,20.2,95.0,8.0,7.0,225.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
25,2023-11-03,INS210101CV,POTRERO CARRILLO,0.0,11.2,15.7,21.2,86.0,8.0,5.7,180.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
26,2023-11-04,INS210101CV,POTRERO CARRILLO,2.5,13.6,16.7,20.0,94.0,8.0,7.0,360.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
27,2023-11-05,INS210101CV,POTRERO CARRILLO,16.4,15.4,19.3,24.2,84.0,8.0,7.0,45.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
28,2023-11-06,INS210101CV,POTRERO CARRILLO,1.8,15.8,17.8,21.0,96.0,8.0,8.3,90.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
29,2023-11-07,INS210101CV,POTRERO CARRILLO,0.7,14.4,17.1,20.2,94.0,7.0,3.7,45.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
30,2023-11-08,INS210101CV,POTRERO CARRILLO,,14.2,16.4,,100.0,8.0,15.0,200.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
