No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2023-10-20,INS180101CV,PUERTO BARRIOS PHC,0.9,22.4,26.2,30.6,6.4,84.0,0.7,8.0,2.3,0.0,758.3,INSDMCL1801001CONV,15.730161,-88.584395,2.0
2,2023-10-21,INS180101CV,PUERTO BARRIOS PHC,0.0,23.2,25.9,29.4,1.9,86.0,0.8,8.0,4.7,90.0,758.6,INSDMCL1801001CONV,15.730161,-88.584395,2.0
3,2023-10-22,INS180101CV,PUERTO BARRIOS PHC,2.2,21.8,26.6,31.8,0.2,82.0,9.5,4.0,6.0,0.0,757.3,INSDMCL1801001CONV,15.730161,-88.584395,2.0
4,2023-10-23,INS180101CV,PUERTO BARRIOS PHC,0.0,23.4,27.3,31.6,4.0,85.0,8.4,3.0,5.0,0.0,756.6,INSDMCL1801001CONV,15.730161,-88.584395,2.0
5,2023-10-24,INS180101CV,PUERTO BARRIOS PHC,5.4,23.0,28.1,32.4,3.8,83.0,9.0,2.0,8.3,360.0,756.6,INSDMCL1801001CONV,15.730161,-88.584395,2.0
6,2023-10-25,INS180101CV,PUERTO BARRIOS PHC,23.1,24.2,26.7,28.4,4.9,92.0,0.5,7.0,2.3,0.0,757.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
7,2023-10-26,INS180101CV,PUERTO BARRIOS PHC,58.0,24.6,27.1,30.0,0.1,87.0,2.5,8.0,5.0,0.0,756.3,INSDMCL1801001CONV,15.730161,-88.584395,2.0
8,2023-10-27,INS180101CV,PUERTO BARRIOS PHC,111.2,24.2,27.0,30.4,,86.0,5.7,6.0,3.7,0.0,756.4,INSDMCL1801001CONV,15.730161,-88.584395,2.0
9,2023-10-28,INS180101CV,PUERTO BARRIOS PHC,11.0,23.8,26.4,30.6,0.1,89.0,4.0,6.0,5.0,0.0,756.7,INSDMCL1801001CONV,15.730161,-88.584395,2.0
10,2023-10-29,INS180101CV,PUERTO BARRIOS PHC,17.9,23.4,24.9,30.6,,93.0,2.5,6.0,3.7,0.0,755.7,INSDMCL1801001CONV,15.730161,-88.584395,2.0
11,2023-10-30,INS180101CV,PUERTO BARRIOS PHC,0.0,22.8,26.9,30.4,0.1,83.0,5.3,5.0,5.0,0.0,756.3,INSDMCL1801001CONV,15.730161,-88.584395,2.0
