No.,fecha,ID,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-05-29,INS160701CV,23.6,29.7,38.8,86.0,5.0,7.0,180.0,Panzos PHC Altaverapaz,0.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
2,2025-05-30,INS160701CV,23.2,29.7,38.6,85.0,5.0,4.7,180.0,Panzos PHC Altaverapaz,0.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
3,2025-05-31,INS160701CV,23.6,29.9,39.6,86.0,5.0,4.7,180.0,Panzos PHC Altaverapaz,0.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
4,2025-06-01,INS160701CV,23.8,29.2,38.8,86.0,6.0,7.0,180.0,Panzos PHC Altaverapaz,0.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
5,2025-06-02,INS160701CV,23.6,29.7,39.2,85.0,5.0,4.7,180.0,Panzos PHC Altaverapaz,0.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
6,2025-06-03,INS160701CV,22.8,29.5,39.6,85.0,5.0,4.7,180.0,Panzos PHC Altaverapaz,4.2,INSDMCL1607001CONV,15.3974,-89.64397,33.0
7,2025-06-04,INS160701CV,22.4,28.9,38.4,87.0,6.0,9.0,180.0,Panzos PHC Altaverapaz,29.6,INSDMCL1607001CONV,15.3974,-89.64397,33.0
8,2025-06-05,INS160701CV,22.2,28.9,37.8,87.0,7.0,7.0,180.0,Panzos PHC Altaverapaz,22.8,INSDMCL1607001CONV,15.3974,-89.64397,33.0
9,2025-06-06,INS160701CV,21.8,28.1,37.4,88.0,7.0,9.0,180.0,Panzos PHC Altaverapaz,0.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
10,2025-06-07,INS160701CV,22.4,28.9,36.8,88.0,6.0,7.0,180.0,Panzos PHC Altaverapaz,0.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
11,2025-06-08,INS160701CV,22.8,28.9,37.4,86.0,5.0,7.0,180.0,Panzos PHC Altaverapaz,0.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
12,2025-06-09,INS160701CV,23.2,29.4,38.2,86.0,5.0,11.3,180.0,Panzos PHC Altaverapaz,19.2,INSDMCL1607001CONV,15.3974,-89.64397,33.0
13,2025-06-10,INS160701CV,22.6,29.1,37.6,87.0,6.0,13.3,180.0,Panzos PHC Altaverapaz,26.4,INSDMCL1607001CONV,15.3974,-89.64397,33.0
14,2025-06-11,INS160701CV,22.2,28.7,37.2,88.0,6.0,9.0,180.0,Panzos PHC Altaverapaz,3.6,INSDMCL1607001CONV,15.3974,-89.64397,33.0
15,2025-06-12,INS160701CV,22.8,29.3,37.8,87.0,6.0,7.0,180.0,Panzos PHC Altaverapaz,2.8,INSDMCL1607001CONV,15.3974,-89.64397,33.0
16,2025-06-13,INS160701CV,23.2,29.5,38.4,86.0,5.0,7.0,180.0,Panzos PHC Altaverapaz,0.0,INSDMCL1607001CONV,15.3974,-89.64397,33.0
17,2025-06-14,INS160701CV,22.6,28.7,37.6,87.0,6.0,4.7,180.0,Panzos PHC Altaverapaz,3.6,INSDMCL1607001CONV,15.3974,-89.64397,33.0
18,2025-06-15,INS160701CV,22.8,28.8,36.4,88.0,7.0,9.0,180.0,Panzos PHC Altaverapaz,38.4,INSDMCL1607001CONV,15.3974,-89.64397,33.0
19,2025-06-16,INS160701CV,22.4,28.9,36.8,88.0,7.0,7.0,180.0,Panzos PHC Altaverapaz,16.8,INSDMCL1607001CONV,15.3974,-89.64397,33.0
20,2025-06-17,INS160701CV,21.8,28.4,37.2,88.0,6.0,9.0,180.0,Panzos PHC Altaverapaz,6.8,INSDMCL1607001CONV,15.3974,-89.64397,33.0
21,2025-06-18,INS160701CV,22.6,28.9,37.6,87.0,6.0,7.0,180.0,Panzos PHC Altaverapaz,8.2,INSDMCL1607001CONV,15.3974,-89.64397,33.0
22,2025-06-19,INS160701CV,22.4,29.1,37.4,87.0,6.0,4.7,180.0,Panzos PHC Altaverapaz,13.6,INSDMCL1607001CONV,15.3974,-89.64397,33.0
23,2025-06-20,INS160701CV,21.8,28.4,36.6,89.0,7.0,7.0,180.0,Panzos PHC Altaverapaz,9.4,INSDMCL1607001CONV,15.3974,-89.64397,33.0
24,2025-06-21,INS160701CV,22.6,28.7,35.8,88.0,7.0,11.3,180.0,Panzos PHC Altaverapaz,37.4,INSDMCL1607001CONV,15.3974,-89.64397,33.0
25,2025-06-22,INS160701CV,22.2,28.9,36.2,88.0,6.0,7.0,180.0,Panzos PHC Altaverapaz,33.6,INSDMCL1607001CONV,15.3974,-89.64397,33.0
