No.,fecha,ID,tmin,tseca,tmax,eva_piche,hum_rel,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-01-31,INS190301CV,18.8,27.5,32.8,3.0,69.0,4.0,6.0,9.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
2,2025-02-01,INS190301CV,18.4,27.6,32.6,3.0,64.0,6.0,6.3,9.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
3,2025-02-02,INS190301CV,18.8,28.1,35.2,3.0,68.0,2.0,8.7,315.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
4,2025-02-03,INS190301CV,19.4,27.9,34.4,3.5,66.0,4.0,3.3,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
5,2025-02-04,INS190301CV,18.4,27.0,31.4,3.0,84.0,8.0,11.7,315.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
6,2025-02-05,INS190301CV,19.0,27.3,33.0,3.0,68.0,3.0,6.7,9.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
7,2025-02-06,INS190301CV,19.6,27.7,32.8,3.5,73.0,3.0,7.3,9.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
8,2025-02-07,INS190301CV,18.6,25.8,30.4,3.0,71.0,5.0,5.0,90.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
9,2025-02-08,INS190301CV,18.0,25.8,30.8,3.0,73.0,7.0,3.3,45.0,Pasabien,0.1,INSDMCL1903001CONV,15.030222,-89.67925,260.0
10,2025-02-09,INS190301CV,18.4,26.1,31.2,3.0,75.0,6.0,4.0,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
11,2025-02-10,INS190301CV,16.6,27.5,33.0,3.0,74.0,7.0,3.0,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
12,2025-02-11,INS190301CV,15.6,27.1,33.0,2.5,71.0,2.0,3.3,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
13,2025-02-12,INS190301CV,16.0,29.5,35.8,3.5,62.0,4.0,2.7,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
14,2025-02-13,INS190301CV,18.2,30.0,36.2,3.5,61.0,3.0,2.7,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
15,2025-02-14,INS190301CV,19.2,28.5,34.2,4.0,62.0,3.0,6.7,9.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
16,2025-02-15,INS190301CV,18.2,27.3,32.6,3.5,70.0,3.0,6.7,9.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
17,2025-02-16,INS190301CV,18.4,27.5,33.6,3.0,66.0,5.0,4.0,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
18,2025-02-17,INS190301CV,17.8,27.5,31.6,3.5,71.0,7.0,4.0,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
19,2025-02-18,INS190301CV,18.8,29.4,35.2,2.5,65.0,4.0,5.7,9.0,Pasabien,0.2,INSDMCL1903001CONV,15.030222,-89.67925,260.0
20,2025-02-19,INS190301CV,19.0,30.2,35.8,3.0,71.0,6.0,2.7,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
21,2025-02-20,INS190301CV,21.0,27.7,32.8,3.0,72.0,7.0,2.7,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
22,2025-02-21,INS190301CV,19.8,26.6,32.4,3.0,74.0,8.0,2.7,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
23,2025-02-22,INS190301CV,18.0,26.1,32.6,2.5,77.0,8.0,4.0,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
24,2025-02-23,INS190301CV,18.6,27.3,32.4,3.0,66.0,7.0,3.3,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
25,2025-02-24,INS190301CV,17.2,27.5,33.4,3.0,70.0,3.0,4.0,90.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
26,2025-02-25,INS190301CV,17.8,26.9,32.0,4.0,71.0,5.0,3.3,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
27,2025-02-26,INS190301CV,16.4,28.1,34.0,3.0,66.0,3.0,4.3,90.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
28,2025-02-27,INS190301CV,18.0,29.7,35.2,3.0,66.0,3.0,4.3,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
29,2025-02-28,INS190301CV,17.8,27.7,33.8,3.0,69.0,6.0,4.0,45.0,Pasabien,0.0,INSDMCL1903001CONV,15.030222,-89.67925,260.0
30,2025-03-01,INS190301CV,17.6,27.7,,3.0,72.0,2.0,2.5,22.5,Pasabien,,INSDMCL1903001CONV,15.030222,-89.67925,260.0
