No.,fecha,ID,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-02-13,INS171201CV,21.0,26.7,30.6,79.0,2.0,11.1,90.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
2,2025-02-14,INS171201CV,20.0,23.1,28.0,87.0,8.0,7.4,90.0,Poptún,2.5,INSDMCL1712001CONV,16.32566,-89.41043,479.0
3,2025-02-15,INS171201CV,20.4,24.1,28.0,86.0,8.0,7.4,9.0,Poptún,2.6,INSDMCL1712001CONV,16.32566,-89.41043,479.0
4,2025-02-16,INS171201CV,21.6,24.8,30.0,86.0,8.0,7.4,90.0,Poptún,8.3,INSDMCL1712001CONV,16.32566,-89.41043,479.0
5,2025-02-17,INS171201CV,20.0,22.9,27.0,95.0,6.0,4.9,180.0,Poptún,27.8,INSDMCL1712001CONV,16.32566,-89.41043,479.0
6,2025-02-18,INS171201CV,18.0,23.1,27.8,92.0,5.0,6.2,90.0,Poptún,1.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
7,2025-02-19,INS171201CV,21.5,25.4,30.4,91.0,5.0,7.4,90.0,Poptún,0.1,INSDMCL1712001CONV,16.32566,-89.41043,479.0
8,2025-02-20,INS171201CV,21.0,22.4,27.0,94.0,8.0,2.5,0.0,Poptún,18.8,INSDMCL1712001CONV,16.32566,-89.41043,479.0
9,2025-02-21,INS171201CV,19.0,21.4,24.6,95.0,7.0,2.5,0.0,Poptún,9.2,INSDMCL1712001CONV,16.32566,-89.41043,479.0
10,2025-02-22,INS171201CV,19.8,23.0,27.4,94.0,7.0,2.5,0.0,Poptún,7.8,INSDMCL1712001CONV,16.32566,-89.41043,479.0
11,2025-02-23,INS171201CV,19.0,22.1,25.2,94.0,6.0,4.9,90.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
12,2025-02-24,INS171201CV,17.0,22.9,27.6,83.0,5.0,7.4,9.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
13,2025-02-25,INS171201CV,20.6,21.1,23.0,92.0,8.0,7.4,360.0,Poptún,1.7,INSDMCL1712001CONV,16.32566,-89.41043,479.0
14,2025-02-26,INS171201CV,16.4,22.5,27.4,83.0,5.0,7.4,90.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
15,2025-02-27,INS171201CV,19.0,25.0,28.6,83.0,4.0,9.9,180.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
16,2025-02-28,INS171201CV,18.0,25.3,29.0,75.0,4.0,7.4,9.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
17,2025-03-01,INS171201CV,20.6,23.7,28.6,86.0,7.0,7.4,90.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
18,2025-03-02,INS171201CV,19.4,24.9,29.0,77.0,4.0,7.4,90.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
19,2025-03-03,INS171201CV,20.0,24.7,28.4,83.0,1.0,11.1,90.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
20,2025-03-04,INS171201CV,19.8,22.9,29.6,85.0,0.0,8.6,90.0,Poptún,,INSDMCL1712001CONV,16.32566,-89.41043,479.0
21,2025-03-05,INS171201CV,,29.8,31.8,84.0,4.0,11.1,270.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
22,2025-03-06,INS171201CV,19.0,24.7,29.6,86.0,6.0,4.9,270.0,Poptún,2.6,INSDMCL1712001CONV,16.32566,-89.41043,479.0
23,2025-03-07,INS171201CV,21.0,25.2,29.6,86.0,1.0,7.4,90.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
24,2025-03-08,INS171201CV,21.6,27.1,32.0,84.0,0.0,9.9,90.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
25,2025-03-09,INS171201CV,22.0,28.9,34.6,83.0,2.0,4.9,270.0,Poptún,0.3,INSDMCL1712001CONV,16.32566,-89.41043,479.0
26,2025-03-10,INS171201CV,22.4,21.8,30.8,91.0,8.0,7.4,360.0,Poptún,3.6,INSDMCL1712001CONV,16.32566,-89.41043,479.0
27,2025-03-11,INS171201CV,17.6,21.7,24.8,86.0,8.0,7.4,360.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
28,2025-03-12,INS171201CV,17.6,25.1,29.6,77.0,5.0,8.6,90.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
29,2025-03-13,INS171201CV,21.6,28.0,34.0,74.0,2.0,11.1,180.0,Poptún,0.0,INSDMCL1712001CONV,16.32566,-89.41043,479.0
30,2025-03-14,INS171201CV,21.0,22.6,,95.0,0.0,7.4,90.0,Poptún,,INSDMCL1712001CONV,16.32566,-89.41043,479.0
