No.,fecha,ID,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-04-16,INS180101CV,23.4,25.2,28.2,5.9,89.0,0.2,8.0,7.3,45.0,760.0,Puerto Barrios PHC,27.2,INSDMCL1801001CONV,15.730161,-88.584395,2.0
2,2025-04-17,INS180101CV,22.2,26.4,30.6,,85.0,8.5,7.0,11.0,9.0,758.9,Puerto Barrios PHC,0.4,INSDMCL1801001CONV,15.730161,-88.584395,2.0
3,2025-04-18,INS180101CV,22.6,27.4,31.4,7.0,78.0,9.7,5.0,11.0,45.0,759.2,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
4,2025-04-19,INS180101CV,21.8,27.1,32.0,5.4,79.0,10.7,5.0,9.7,45.0,758.2,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
5,2025-04-20,INS180101CV,22.6,28.7,34.2,2.1,78.0,9.7,4.0,11.0,45.0,756.6,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
6,2025-04-21,INS180101CV,25.2,29.3,34.0,6.9,82.0,9.2,6.0,5.0,0.0,756.7,Puerto Barrios PHC,4.5,INSDMCL1801001CONV,15.730161,-88.584395,2.0
7,2025-04-22,INS180101CV,24.6,28.0,31.8,5.9,77.0,9.5,4.0,11.0,9.0,756.7,Puerto Barrios PHC,0.4,INSDMCL1801001CONV,15.730161,-88.584395,2.0
8,2025-04-23,INS180101CV,22.0,27.5,31.8,5.5,80.0,10.4,3.0,8.3,9.0,757.2,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
9,2025-04-24,INS180101CV,22.4,27.9,32.4,4.0,77.0,9.8,3.0,12.3,9.0,757.2,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
10,2025-04-25,INS180101CV,22.8,27.2,31.8,5.7,79.0,7.2,7.0,4.7,90.0,757.2,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
11,2025-04-26,INS180101CV,22.6,28.1,32.8,3.5,72.0,9.4,4.0,7.3,9.0,757.7,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
12,2025-04-27,INS180101CV,20.2,27.1,32.6,5.3,75.0,11.2,4.0,7.3,9.0,758.7,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
13,2025-04-28,INS180101CV,21.8,27.5,32.4,4.0,75.0,10.2,2.0,11.0,45.0,759.2,Puerto Barrios PHC,0.9,INSDMCL1801001CONV,15.730161,-88.584395,2.0
14,2025-04-29,INS180101CV,22.8,28.8,32.4,4.9,74.0,9.2,6.0,13.3,45.0,758.7,Puerto Barrios PHC,0.5,INSDMCL1801001CONV,15.730161,-88.584395,2.0
15,2025-04-30,INS180101CV,22.0,28.2,32.4,9.5,76.0,10.7,3.0,11.0,45.0,757.0,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
16,2025-05-01,INS180101CV,22.2,28.3,33.0,9.0,78.0,10.8,4.0,2.3,0.0,756.1,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
17,2025-05-02,INS180101CV,23.2,28.5,33.4,3.0,82.0,9.5,6.0,5.0,0.0,755.7,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
18,2025-05-03,INS180101CV,23.4,29.7,34.0,10.8,77.0,10.4,5.0,11.0,9.0,754.8,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
19,2025-05-04,INS180101CV,24.6,29.9,34.2,3.2,81.0,8.8,6.0,9.7,9.0,754.6,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
20,2025-05-05,INS180101CV,23.8,29.9,34.8,8.8,77.0,10.8,5.0,9.7,9.0,755.0,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
21,2025-05-06,INS180101CV,24.6,30.3,34.6,5.7,78.0,10.4,5.0,10.0,9.0,755.5,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
22,2025-05-07,INS180101CV,25.4,30.7,34.4,8.6,77.0,10.0,6.0,12.3,9.0,755.1,Puerto Barrios PHC,0.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
23,2025-05-08,INS180101CV,25.4,29.9,34.6,4.2,81.0,9.8,3.0,7.3,9.0,755.5,Puerto Barrios PHC,1.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
24,2025-05-09,INS180101CV,25.6,29.9,34.2,9.0,81.0,8.8,4.0,9.7,9.0,754.5,Puerto Barrios PHC,18.0,INSDMCL1801001CONV,15.730161,-88.584395,2.0
25,2025-05-10,INS180101CV,23.4,29.0,33.6,7.9,73.0,5.1,7.0,0.0,0.0,755.9,Puerto Barrios PHC,0.5,INSDMCL1801001CONV,15.730161,-88.584395,2.0
