No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,pre_atmos,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-02-23,INS110101CV,RETALHULEU AEROPUERTO,0.0,22.0,27.7,34.0,58.0,6.0,8.4,225.0,740.8,INSDMCL1101001CONV,14.52486,-91.69407,205.0
2,2024-02-24,INS110101CV,RETALHULEU AEROPUERTO,0.0,21.6,28.1,34.2,56.0,4.0,9.3,225.0,742.3,INSDMCL1101001CONV,14.52486,-91.69407,205.0
3,2024-02-25,INS110101CV,RETALHULEU AEROPUERTO,0.0,20.0,27.8,34.4,54.0,2.0,10.8,270.0,742.7,INSDMCL1101001CONV,14.52486,-91.69407,205.0
4,2024-02-26,INS110101CV,RETALHULEU AEROPUERTO,0.0,21.0,28.0,34.4,63.0,2.0,12.3,270.0,743.2,INSDMCL1101001CONV,14.52486,-91.69407,205.0
5,2024-02-27,INS110101CV,RETALHULEU AEROPUERTO,0.0,20.0,28.5,36.0,55.0,0.0,8.6,9.0,741.2,INSDMCL1101001CONV,14.52486,-91.69407,205.0
6,2024-02-28,INS110101CV,RETALHULEU AEROPUERTO,0.0,20.0,29.1,35.0,54.0,0.0,7.4,270.0,741.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
7,2024-02-29,INS110101CV,RETALHULEU AEROPUERTO,0.0,22.0,28.7,35.0,58.0,3.0,11.1,180.0,741.7,INSDMCL1101001CONV,14.52486,-91.69407,205.0
8,2024-03-01,INS110101CV,RETALHULEU AEROPUERTO,0.0,22.0,29.0,35.0,66.0,3.0,8.6,45.0,742.6,INSDMCL1101001CONV,14.52486,-91.69407,205.0
9,2024-03-02,INS110101CV,RETALHULEU AEROPUERTO,0.0,22.4,29.7,35.0,56.0,5.0,11.1,225.0,742.7,INSDMCL1101001CONV,14.52486,-91.69407,205.0
10,2024-03-03,INS110101CV,RETALHULEU AEROPUERTO,0.0,23.0,28.6,34.0,64.0,6.0,8.6,270.0,742.2,INSDMCL1101001CONV,14.52486,-91.69407,205.0
11,2024-03-04,INS110101CV,RETALHULEU AEROPUERTO,0.0,22.0,29.3,35.6,60.0,4.0,9.9,270.0,740.8,INSDMCL1101001CONV,14.52486,-91.69407,205.0
12,2024-03-05,INS110101CV,RETALHULEU AEROPUERTO,0.0,22.8,29.6,35.6,54.0,5.0,9.9,270.0,739.9,INSDMCL1101001CONV,14.52486,-91.69407,205.0
13,2024-03-06,INS110101CV,RETALHULEU AEROPUERTO,0.0,22.8,28.1,33.2,67.0,5.0,8.4,270.0,740.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
14,2024-03-07,INS110101CV,RETALHULEU AEROPUERTO,0.0,22.6,29.1,35.0,61.0,4.0,9.3,225.0,739.8,INSDMCL1101001CONV,14.52486,-91.69407,205.0
15,2024-03-08,INS110101CV,RETALHULEU AEROPUERTO,0.0,22.0,28.7,35.2,63.0,6.0,8.4,270.0,740.5,INSDMCL1101001CONV,14.52486,-91.69407,205.0
16,2024-03-09,INS110101CV,RETALHULEU AEROPUERTO,0.0,21.6,28.9,36.4,61.0,3.0,9.3,270.0,740.4,INSDMCL1101001CONV,14.52486,-91.69407,205.0
17,2024-03-10,INS110101CV,RETALHULEU AEROPUERTO,0.0,22.0,29.5,35.4,63.0,4.0,9.3,225.0,740.4,INSDMCL1101001CONV,14.52486,-91.69407,205.0
18,2024-03-11,INS110101CV,RETALHULEU AEROPUERTO,0.0,22.8,30.7,37.4,53.0,1.0,11.1,270.0,740.9,INSDMCL1101001CONV,14.52486,-91.69407,205.0
19,2024-03-12,INS110101CV,RETALHULEU AEROPUERTO,0.0,21.8,30.1,36.6,55.0,3.0,9.9,225.0,741.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
20,2024-03-13,INS110101CV,RETALHULEU AEROPUERTO,0.0,23.0,29.9,36.4,60.0,6.0,4.9,0.0,739.9,INSDMCL1101001CONV,14.52486,-91.69407,205.0
21,2024-03-14,INS110101CV,RETALHULEU AEROPUERTO,0.0,23.0,29.8,36.0,60.0,5.0,11.1,180.0,739.7,INSDMCL1101001CONV,14.52486,-91.69407,205.0
22,2024-03-15,INS110101CV,RETALHULEU AEROPUERTO,0.0,23.6,30.2,37.2,56.0,6.0,11.1,225.0,739.2,INSDMCL1101001CONV,14.52486,-91.69407,205.0
23,2024-03-16,INS110101CV,RETALHULEU AEROPUERTO,0.0,24.0,30.7,37.2,53.0,5.0,8.6,270.0,739.1,INSDMCL1101001CONV,14.52486,-91.69407,205.0
24,2024-03-17,INS110101CV,RETALHULEU AEROPUERTO,0.0,23.2,30.7,37.4,57.0,4.0,6.2,270.0,738.2,INSDMCL1101001CONV,14.52486,-91.69407,205.0
25,2024-03-18,INS110101CV,RETALHULEU AEROPUERTO,0.0,23.8,30.1,36.6,59.0,6.0,12.1,270.0,739.1,INSDMCL1101001CONV,14.52486,-91.69407,205.0
26,2024-03-19,INS110101CV,RETALHULEU AEROPUERTO,0.0,24.4,31.9,37.8,50.0,3.0,8.4,225.0,739.5,INSDMCL1101001CONV,14.52486,-91.69407,205.0
27,2024-03-20,INS110101CV,RETALHULEU AEROPUERTO,0.0,24.8,30.9,36.4,54.0,3.0,7.4,225.0,740.7,INSDMCL1101001CONV,14.52486,-91.69407,205.0
28,2024-03-21,INS110101CV,RETALHULEU AEROPUERTO,0.0,23.8,30.3,36.2,62.0,4.0,7.4,225.0,740.7,INSDMCL1101001CONV,14.52486,-91.69407,205.0
29,2024-03-22,INS110101CV,RETALHULEU AEROPUERTO,0.0,23.8,30.8,37.4,60.0,3.0,8.4,270.0,739.8,INSDMCL1101001CONV,14.52486,-91.69407,205.0
30,2024-03-23,INS110101CV,RETALHULEU AEROPUERTO,,25.0,30.5,,64.0,4.0,5.6,115.0,740.6,INSDMCL1101001CONV,14.52486,-91.69407,205.0
