No.,fecha,ID,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,pre_atmos,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-11-14,INS110101CV,21.8,27.5,33.0,78.0,5.0,3.7,76.66666666666667,738.6,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
2,2024-11-15,INS110101CV,22.8,26.9,33.0,78.0,6.0,9.9,93.33333333333331,738.0,Retalhuleu Aeropuerto,32.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
3,2024-11-16,INS110101CV,22.8,26.4,32.2,81.0,7.0,11.1,86.66666666666667,737.7,Retalhuleu Aeropuerto,32.6,INSDMCL1101001CONV,14.52486,-91.69407,205.0
4,2024-11-17,INS110101CV,22.0,25.3,29.0,85.0,8.0,9.8,93.33333333333331,738.0,Retalhuleu Aeropuerto,5.5,INSDMCL1101001CONV,14.52486,-91.69407,205.0
5,2024-11-18,INS110101CV,22.2,24.6,27.8,94.0,8.0,7.4,90.0,739.0,Retalhuleu Aeropuerto,3.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
6,2024-11-19,INS110101CV,22.4,25.0,28.8,91.0,8.0,3.7,66.66666666666667,740.5,Retalhuleu Aeropuerto,4.7,INSDMCL1101001CONV,14.52486,-91.69407,205.0
7,2024-11-20,INS110101CV,23.0,27.9,31.6,79.0,7.0,3.7,90.0,741.2,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
8,2024-11-21,INS110101CV,23.2,27.1,33.8,84.0,6.0,4.9,83.33333333333333,740.5,Retalhuleu Aeropuerto,100.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
9,2024-11-22,INS110101CV,21.6,25.9,33.0,81.0,5.0,8.6,120.0,741.0,Retalhuleu Aeropuerto,20.2,INSDMCL1101001CONV,14.52486,-91.69407,205.0
10,2024-11-23,INS110101CV,21.0,25.7,32.8,75.0,5.0,9.9,126.66666666666669,741.1,Retalhuleu Aeropuerto,5.5,INSDMCL1101001CONV,14.52486,-91.69407,205.0
11,2024-11-24,INS110101CV,21.4,26.5,32.0,77.0,5.0,3.7,100.0,741.7,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
12,2024-11-25,INS110101CV,21.0,27.0,33.0,74.0,2.0,6.2,166.66666666666666,742.0,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
13,2024-11-26,INS110101CV,20.8,27.5,34.0,68.0,3.0,8.6,173.33333333333334,741.1,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
14,2024-11-27,INS110101CV,22.0,27.9,34.0,60.0,1.0,5.1,90.0,739.8,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
15,2024-11-28,INS110101CV,20.8,27.7,34.4,69.0,1.0,6.2,173.33333333333334,739.7,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
16,2024-11-29,INS110101CV,21.8,27.9,34.8,60.0,3.0,7.4,173.33333333333334,740.2,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
17,2024-11-30,INS110101CV,19.0,27.1,34.6,56.0,0.0,6.2,90.0,740.4,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
18,2024-12-01,INS110101CV,21.6,27.7,34.2,64.0,5.0,4.9,90.0,731.8,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
19,2024-12-02,INS110101CV,23.0,27.0,31.0,77.0,8.0,2.5,83.33333333333333,741.6,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
20,2024-12-03,INS110101CV,21.0,27.5,34.0,66.0,5.0,7.4,100.0,741.6,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
21,2024-12-04,INS110101CV,20.0,26.7,34.0,73.0,4.0,7.4,166.66666666666666,741.1,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
22,2024-12-05,INS110101CV,20.0,27.3,34.0,69.0,3.0,2.5,83.33333333333333,741.1,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
23,2024-12-06,INS110101CV,22.0,28.3,34.0,64.0,4.0,8.6,100.0,740.9,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
24,2024-12-07,INS110101CV,21.0,28.1,35.0,64.0,0.0,7.4,76.66666666666667,740.6,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
25,2024-12-08,INS110101CV,21.0,27.5,34.0,75.0,8.0,8.6,106.66666666666669,740.8,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
26,2024-12-09,INS110101CV,21.0,28.3,35.0,63.0,1.0,6.2,160.0,740.0,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
27,2024-12-10,INS110101CV,22.0,28.6,35.8,63.0,1.0,6.2,166.66666666666666,739.5,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
28,2024-12-11,INS110101CV,22.8,28.8,35.0,62.0,2.0,4.9,60.0,740.9,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
29,2024-12-12,INS110101CV,22.8,28.3,33.0,67.0,3.0,7.4,166.66666666666666,741.2,Retalhuleu Aeropuerto,0.0,INSDMCL1101001CONV,14.52486,-91.69407,205.0
30,2024-12-13,INS110101CV,22.0,22.6,,86.0,0.0,7.4,50.0,741.5,Retalhuleu Aeropuerto,,INSDMCL1101001CONV,14.52486,-91.69407,205.0
