No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,pre_atmos,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-05-20,INS141601CV,SACAPULAS,0.0,20.0,27.3,35.5,76.0,5.0,2.0,360.0,772.6,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
2,2024-05-21,INS141601CV,SACAPULAS,0.0,16.5,27.1,36.0,70.0,2.0,2.0,45.0,773.3,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
3,2024-05-22,INS141601CV,SACAPULAS,0.0,19.5,27.7,35.5,69.0,2.0,2.0,45.0,773.6,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
4,2024-05-23,INS141601CV,SACAPULAS,0.0,18.0,28.2,36.0,73.0,4.0,2.0,45.0,773.3,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
5,2024-05-24,INS141601CV,SACAPULAS,0.8,22.0,30.6,37.5,68.0,4.0,2.0,45.0,772.1,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
6,2024-05-25,INS141601CV,SACAPULAS,0.0,23.0,30.1,37.0,67.0,7.0,2.0,45.0,772.7,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
7,2024-05-26,INS141601CV,SACAPULAS,0.0,20.5,28.3,37.5,74.0,5.0,2.0,45.0,773.3,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
8,2024-05-27,INS141601CV,SACAPULAS,0.0,20.0,29.0,37.5,70.0,3.0,2.0,45.0,773.9,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
9,2024-05-28,INS141601CV,SACAPULAS,0.0,19.5,28.1,35.5,72.0,3.0,2.0,45.0,775.1,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
10,2024-05-29,INS141601CV,SACAPULAS,0.0,19.0,27.6,35.0,68.0,3.0,2.0,360.0,775.4,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
11,2024-05-30,INS141601CV,SACAPULAS,0.8,17.5,26.7,34.0,68.0,7.0,2.0,45.0,774.8,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
12,2024-05-31,INS141601CV,SACAPULAS,0.8,18.5,26.5,33.5,79.0,7.0,2.0,45.0,773.4,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
13,2024-06-01,INS141601CV,SACAPULAS,0.0,19.5,26.7,32.5,74.0,8.0,2.0,45.0,773.5,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
14,2024-06-02,INS141601CV,SACAPULAS,0.0,18.5,27.2,35.0,76.0,7.0,2.0,45.0,773.8,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
15,2024-06-03,INS141601CV,SACAPULAS,0.0,18.0,28.1,36.5,69.0,6.0,2.0,45.0,772.6,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
16,2024-06-04,INS141601CV,SACAPULAS,0.0,18.5,27.8,35.0,72.0,5.0,2.0,90.0,771.9,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
17,2024-06-05,INS141601CV,SACAPULAS,0.0,19.0,28.1,36.0,71.0,5.0,2.0,45.0,771.1,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
18,2024-06-06,INS141601CV,SACAPULAS,1.3,19.5,27.3,34.0,70.0,3.0,2.0,90.0,771.6,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
19,2024-06-07,INS141601CV,SACAPULAS,2.3,21.0,23.1,28.0,91.0,8.0,2.0,45.0,773.8,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
20,2024-06-08,INS141601CV,SACAPULAS,9.6,20.0,24.3,32.0,83.0,8.0,2.0,360.0,516.4,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
21,2024-06-09,INS141601CV,SACAPULAS,33.7,20.0,24.4,34.0,83.0,7.0,2.0,360.0,774.0,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
22,2024-06-10,INS141601CV,SACAPULAS,11.7,19.5,23.7,30.5,85.0,8.0,2.0,360.0,771.6,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
23,2024-06-11,INS141601CV,SACAPULAS,0.0,19.5,25.4,32.5,77.0,7.0,2.0,360.0,771.7,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
24,2024-06-12,INS141601CV,SACAPULAS,5.2,21.0,25.3,33.5,81.0,7.0,2.0,270.0,773.4,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
25,2024-06-13,INS141601CV,SACAPULAS,41.0,21.5,23.1,28.0,87.0,8.0,2.0,360.0,773.9,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
26,2024-06-14,INS141601CV,SACAPULAS,23.3,20.0,23.0,30.0,87.0,8.0,2.0,360.0,772.6,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
27,2024-06-15,INS141601CV,SACAPULAS,14.2,19.5,24.7,31.0,77.0,6.0,2.0,360.0,770.9,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
28,2024-06-16,INS141601CV,SACAPULAS,16.5,20.5,22.0,25.0,90.0,8.0,2.0,360.0,769.6,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
29,2024-06-17,INS141601CV,SACAPULAS,1.0,20.0,23.8,28.0,81.0,8.0,2.0,45.0,769.2,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
30,2024-06-18,INS141601CV,SACAPULAS,,19.5,19.6,,95.0,8.0,2.0,270.0,770.9,INSDMCL1416001CONV,15.290621,-91.091976,1180.0
