No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-10-09,INS041001CV,SANTA CRUZ BALANYA,0.0,10.5,17.9,22.2,95.0,5.0,6.7,9.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
2,2024-10-10,INS041001CV,SANTA CRUZ BALANYA,0.0,10.5,17.7,22.4,96.0,7.0,6.7,9.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
3,2024-10-11,INS041001CV,SANTA CRUZ BALANYA,0.0,10.0,16.8,22.0,96.0,5.0,6.7,9.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
4,2024-10-12,INS041001CV,SANTA CRUZ BALANYA,0.0,8.5,15.5,20.4,95.0,8.0,6.7,360.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
5,2024-10-13,INS041001CV,SANTA CRUZ BALANYA,0.0,9.5,16.7,21.2,96.0,7.0,6.7,360.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
6,2024-10-14,INS041001CV,SANTA CRUZ BALANYA,3.3,10.0,17.0,23.4,95.0,5.0,4.3,0.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
7,2024-10-15,INS041001CV,SANTA CRUZ BALANYA,0.4,9.0,17.9,23.2,95.0,8.0,4.3,0.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
8,2024-10-16,INS041001CV,SANTA CRUZ BALANYA,14.0,10.5,19.3,25.8,95.0,7.0,6.7,9.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
9,2024-10-17,INS041001CV,SANTA CRUZ BALANYA,0.0,10.5,16.7,20.8,96.0,8.0,4.3,0.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
10,2024-10-18,INS041001CV,SANTA CRUZ BALANYA,1.3,10.5,17.8,22.4,96.0,8.0,6.7,360.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
11,2024-10-19,INS041001CV,SANTA CRUZ BALANYA,62.7,8.5,16.5,21.0,97.0,7.0,4.3,0.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
12,2024-10-20,INS041001CV,SANTA CRUZ BALANYA,7.8,10.5,16.0,19.0,97.0,8.0,2.3,0.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
13,2024-10-21,INS041001CV,SANTA CRUZ BALANYA,5.5,10.0,16.7,20.2,97.0,7.0,4.3,0.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
14,2024-10-22,INS041001CV,SANTA CRUZ BALANYA,1.0,9.5,16.3,20.0,96.0,7.0,6.7,360.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
15,2024-10-23,INS041001CV,SANTA CRUZ BALANYA,0.0,8.5,17.1,22.4,96.0,6.0,6.7,9.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
16,2024-10-24,INS041001CV,SANTA CRUZ BALANYA,0.0,10.0,17.4,22.0,96.0,7.0,6.7,360.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
17,2024-10-25,INS041001CV,SANTA CRUZ BALANYA,0.0,8.5,16.9,21.2,97.0,7.0,11.0,360.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
18,2024-10-26,INS041001CV,SANTA CRUZ BALANYA,0.0,9.5,17.1,21.0,96.0,6.0,13.3,360.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
19,2024-10-27,INS041001CV,SANTA CRUZ BALANYA,0.4,10.5,16.5,19.8,96.0,8.0,8.7,360.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
20,2024-10-28,INS041001CV,SANTA CRUZ BALANYA,0.4,8.0,16.5,21.2,95.0,6.0,9.0,360.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
21,2024-10-29,INS041001CV,SANTA CRUZ BALANYA,0.0,9.5,17.9,23.0,95.0,3.0,6.7,360.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
22,2024-10-30,INS041001CV,SANTA CRUZ BALANYA,0.0,7.5,17.9,24.2,95.0,4.0,4.3,0.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
23,2024-10-31,INS041001CV,SANTA CRUZ BALANYA,1.4,8.5,16.7,22.4,96.0,6.0,4.3,0.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
24,2024-11-01,INS041001CV,SANTA CRUZ BALANYA,1.1,10.0,16.5,20.8,96.0,7.0,4.3,0.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
25,2024-11-02,INS041001CV,SANTA CRUZ BALANYA,0.0,9.5,16.7,21.0,96.0,3.0,4.3,0.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
26,2024-11-03,INS041001CV,SANTA CRUZ BALANYA,0.0,10.5,17.3,24.2,96.0,3.0,4.3,0.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
27,2024-11-04,INS041001CV,SANTA CRUZ BALANYA,0.0,12.0,18.1,25.6,96.0,7.0,6.7,180.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
28,2024-11-05,INS041001CV,SANTA CRUZ BALANYA,0.0,10.5,17.7,24.6,95.0,5.0,6.7,180.0,INSDMCL0410001CONV,14.683227,-90.918504,2080.0
