No.,fecha,ID,Nombre,lluvia,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-08-28,INS140101AT,SANTA CRUZ DEL QUICHE,0.1,3.0,9.3,315.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
2,2024-08-29,INS140101AT,SANTA CRUZ DEL QUICHE,12.1,5.0,7.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
3,2024-08-30,INS140101AT,SANTA CRUZ DEL QUICHE,0.2,5.0,3.7,9.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
4,2024-08-31,INS140101AT,SANTA CRUZ DEL QUICHE,3.4,5.0,7.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
5,2024-09-01,INS140101AT,SANTA CRUZ DEL QUICHE,1.5,6.0,9.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
6,2024-09-02,INS140101AT,SANTA CRUZ DEL QUICHE,1.8,5.0,6.7,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
7,2024-09-03,INS140101AT,SANTA CRUZ DEL QUICHE,0.0,5.0,6.7,225.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
8,2024-09-04,INS140101AT,SANTA CRUZ DEL QUICHE,1.9,7.0,8.7,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
9,2024-09-05,INS140101AT,SANTA CRUZ DEL QUICHE,0.0,7.0,5.7,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
10,2024-09-06,INS140101AT,SANTA CRUZ DEL QUICHE,4.2,7.0,9.0,9.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
11,2024-09-07,INS140101AT,SANTA CRUZ DEL QUICHE,3.4,6.0,5.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
12,2024-09-08,INS140101AT,SANTA CRUZ DEL QUICHE,11.5,5.0,9.0,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
13,2024-09-09,INS140101AT,SANTA CRUZ DEL QUICHE,26.0,5.0,9.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
14,2024-09-10,INS140101AT,SANTA CRUZ DEL QUICHE,0.0,5.0,9.0,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
15,2024-09-11,INS140101AT,SANTA CRUZ DEL QUICHE,0.0,2.0,9.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
16,2024-09-12,INS140101AT,SANTA CRUZ DEL QUICHE,12.5,5.0,9.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
17,2024-09-13,INS140101AT,SANTA CRUZ DEL QUICHE,0.0,3.0,6.7,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
18,2024-09-14,INS140101AT,SANTA CRUZ DEL QUICHE,0.0,3.0,5.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
19,2024-09-15,INS140101AT,SANTA CRUZ DEL QUICHE,0.0,5.0,3.7,90.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
20,2024-09-16,INS140101AT,SANTA CRUZ DEL QUICHE,1.0,5.0,7.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
21,2024-09-17,INS140101AT,SANTA CRUZ DEL QUICHE,5.0,4.0,5.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
22,2024-09-18,INS140101AT,SANTA CRUZ DEL QUICHE,2.4,5.0,9.3,180.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
23,2024-09-19,INS140101AT,SANTA CRUZ DEL QUICHE,0.0,2.0,7.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
24,2024-09-20,INS140101AT,SANTA CRUZ DEL QUICHE,0.0,2.0,9.3,9.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
25,2024-09-21,INS140101AT,SANTA CRUZ DEL QUICHE,0.0,8.0,5.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
26,2024-09-22,INS140101AT,SANTA CRUZ DEL QUICHE,1.4,8.0,7.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
27,2024-09-23,INS140101AT,SANTA CRUZ DEL QUICHE,1.1,8.0,5.3,90.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
28,2024-09-24,INS140101AT,SANTA CRUZ DEL QUICHE,0.6,7.0,5.3,270.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
29,2024-09-25,INS140101AT,SANTA CRUZ DEL QUICHE,0.0,8.0,11.0,90.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
30,2024-09-26,INS140101AT,SANTA CRUZ DEL QUICHE,,5.0,2.0,165.0,INSDMCL1401001CONV,15.05016,-91.15395,2082.0
