No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-05-25,INS071901CV,SANTIAGO ATITLAN,2.6,14.2,21.2,28.0,3.9,82.0,5.0,7.3,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
2,2025-05-26,INS071901CV,SANTIAGO ATITLAN,2.0,15.0,21.3,26.6,3.6,82.0,6.0,11.7,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
3,2025-05-27,INS071901CV,SANTIAGO ATITLAN,0.0,13.4,20.7,26.4,2.3,78.0,4.0,5.7,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
4,2025-05-28,INS071901CV,SANTIAGO ATITLAN,0.0,14.2,21.7,26.6,3.5,82.0,5.0,6.7,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
5,2025-05-29,INS071901CV,SANTIAGO ATITLAN,14.0,15.0,20.9,27.6,3.0,82.0,5.0,6.7,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
6,2025-05-30,INS071901CV,SANTIAGO ATITLAN,1.8,15.2,21.7,25.8,2.7,82.0,6.0,12.7,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
7,2025-05-31,INS071901CV,SANTIAGO ATITLAN,2.0,15.2,21.9,26.8,3.3,80.0,3.0,6.7,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
8,2025-06-01,INS071901CV,SANTIAGO ATITLAN,0.0,15.0,22.3,28.0,3.7,80.0,4.0,6.3,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
9,2025-06-02,INS071901CV,SANTIAGO ATITLAN,1.0,17.0,22.4,27.6,3.1,79.0,6.0,11.0,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
10,2025-06-03,INS071901CV,SANTIAGO ATITLAN,35.2,15.4,21.6,26.6,2.1,85.0,7.0,10.3,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
11,2025-06-04,INS071901CV,SANTIAGO ATITLAN,2.3,14.4,20.5,24.8,2.4,85.0,7.0,4.3,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
12,2025-06-05,INS071901CV,SANTIAGO ATITLAN,16.6,16.0,19.7,24.6,2.5,87.0,6.0,7.3,9.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
13,2025-06-06,INS071901CV,SANTIAGO ATITLAN,4.8,17.6,19.9,25.2,2.4,77.0,7.0,8.3,360.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
14,2025-06-07,INS071901CV,SANTIAGO ATITLAN,65.8,16.4,19.7,26.6,3.7,92.0,6.0,4.3,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
15,2025-06-08,INS071901CV,SANTIAGO ATITLAN,1.0,14.0,19.1,24.0,5.8,90.0,5.0,7.7,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
16,2025-06-09,INS071901CV,SANTIAGO ATITLAN,8.8,12.6,18.7,24.2,3.4,87.0,6.0,5.7,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
17,2025-06-10,INS071901CV,SANTIAGO ATITLAN,34.7,15.2,20.4,24.8,3.1,85.0,7.0,5.0,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
18,2025-06-11,INS071901CV,SANTIAGO ATITLAN,1.8,14.8,19.7,23.4,2.5,84.0,8.0,4.3,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
19,2025-06-12,INS071901CV,SANTIAGO ATITLAN,2.3,10.2,19.7,24.0,1.4,86.0,6.0,7.3,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
20,2025-06-13,INS071901CV,SANTIAGO ATITLAN,1.3,15.0,20.2,25.0,1.5,85.0,7.0,5.7,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
21,2025-06-14,INS071901CV,SANTIAGO ATITLAN,0.2,15.0,20.5,26.0,2.5,85.0,5.0,6.7,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
22,2025-06-15,INS071901CV,SANTIAGO ATITLAN,4.8,15.6,22.0,27.4,3.3,77.0,6.0,13.7,360.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
23,2025-06-16,INS071901CV,SANTIAGO ATITLAN,4.5,16.4,20.5,26.2,1.1,83.0,7.0,5.3,9.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
24,2025-06-17,INS071901CV,SANTIAGO ATITLAN,14.8,15.0,19.7,23.8,2.0,85.0,7.0,9.0,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
25,2025-06-18,INS071901CV,SANTIAGO ATITLAN,3.4,15.0,19.2,22.6,1.8,86.0,8.0,5.3,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
26,2025-06-19,INS071901CV,SANTIAGO ATITLAN,10.8,14.8,20.1,25.2,1.0,84.0,7.0,8.3,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
27,2025-06-20,INS071901CV,SANTIAGO ATITLAN,63.1,15.0,19.3,25.2,2.5,88.0,7.0,4.0,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
28,2025-06-21,INS071901CV,SANTIAGO ATITLAN,5.4,14.8,18.9,24.0,3.2,86.0,5.0,6.7,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
29,2025-06-22,INS071901CV,SANTIAGO ATITLAN,0.0,14.4,20.1,24.0,1.4,84.0,5.0,11.7,180.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
30,2025-06-23,INS071901CV,SANTIAGO ATITLAN,,15.0,19.8,,2.0,76.0,6.0,15.0,350.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
