No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-02-19,INS030801CV,SUIZA CONTENTA,0.0,5.5,16.4,24.0,79.0,4.0,1.7,90.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
2,2024-02-20,INS030801CV,SUIZA CONTENTA,0.0,0.5,14.3,23.2,59.0,3.0,1.3,360.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
3,2024-02-21,INS030801CV,SUIZA CONTENTA,0.0,-2.0,13.1,23.4,67.0,2.0,1.4,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
4,2024-02-22,INS030801CV,SUIZA CONTENTA,0.0,-2.0,14.9,26.4,47.0,2.0,1.0,90.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
5,2024-02-23,INS030801CV,SUIZA CONTENTA,0.0,0.5,16.1,27.2,48.0,3.0,1.0,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
6,2024-02-24,INS030801CV,SUIZA CONTENTA,0.0,0.0,15.5,26.4,54.0,2.0,1.0,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
7,2024-02-25,INS030801CV,SUIZA CONTENTA,0.0,6.0,18.1,27.0,59.0,3.0,1.1,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
8,2024-02-26,INS030801CV,SUIZA CONTENTA,0.0,3.2,15.0,23.8,63.0,3.0,1.3,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
9,2024-02-27,INS030801CV,SUIZA CONTENTA,0.0,0.0,14.9,25.2,61.0,2.0,1.1,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
10,2024-02-28,INS030801CV,SUIZA CONTENTA,0.0,5.0,17.6,27.0,61.0,2.0,1.3,360.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
11,2024-02-29,INS030801CV,SUIZA CONTENTA,0.0,8.8,18.0,26.2,65.0,5.0,1.7,360.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
12,2024-03-01,INS030801CV,SUIZA CONTENTA,0.0,5.2,16.1,24.0,76.0,5.0,1.0,360.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
13,2024-03-02,INS030801CV,SUIZA CONTENTA,0.0,6.0,15.3,21.0,76.0,7.0,1.0,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
14,2024-03-03,INS030801CV,SUIZA CONTENTA,0.0,8.4,16.7,22.4,74.0,8.0,1.1,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
15,2024-03-04,INS030801CV,SUIZA CONTENTA,0.0,7.8,17.7,25.0,75.0,6.0,1.0,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
16,2024-03-05,INS030801CV,SUIZA CONTENTA,0.0,5.0,16.6,24.6,74.0,4.0,1.3,360.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
17,2024-03-06,INS030801CV,SUIZA CONTENTA,0.0,7.0,16.9,24.4,75.0,5.0,1.4,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
18,2024-03-07,INS030801CV,SUIZA CONTENTA,0.0,7.5,18.2,26.4,72.0,4.0,1.3,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
19,2024-03-08,INS030801CV,SUIZA CONTENTA,0.0,4.5,16.1,25.0,70.0,3.0,1.7,90.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
20,2024-03-09,INS030801CV,SUIZA CONTENTA,0.0,7.0,18.3,27.2,64.0,3.0,1.0,360.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
21,2024-03-10,INS030801CV,SUIZA CONTENTA,0.0,6.4,17.1,25.2,69.0,6.0,1.0,360.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
22,2024-03-11,INS030801CV,SUIZA CONTENTA,0.0,9.8,17.3,23.4,71.0,7.0,1.7,360.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
23,2024-03-12,INS030801CV,SUIZA CONTENTA,0.0,9.5,17.5,24.0,69.0,7.0,1.3,360.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
24,2024-03-13,INS030801CV,SUIZA CONTENTA,0.0,7.5,17.8,25.6,69.0,4.0,1.4,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
25,2024-03-14,INS030801CV,SUIZA CONTENTA,0.0,7.2,17.5,25.0,72.0,5.0,1.0,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
26,2024-03-15,INS030801CV,SUIZA CONTENTA,0.0,8.0,18.1,26.4,74.0,7.0,1.0,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
27,2024-03-16,INS030801CV,SUIZA CONTENTA,0.0,12.0,19.2,25.0,76.0,8.0,1.3,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
28,2024-03-17,INS030801CV,SUIZA CONTENTA,0.0,10.6,18.3,24.0,79.0,7.0,1.3,360.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
29,2024-03-18,INS030801CV,SUIZA CONTENTA,0.0,10.0,18.7,25.2,73.0,7.0,1.0,9.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
30,2024-03-19,INS030801CV,SUIZA CONTENTA,,13.0,15.6,,96.0,8.0,1.0,360.0,INSDMCL0308001CONV,14.618572,-90.659128,2105.0
