No.,fecha,ID,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-06-02,INS040801AT,7.0,3.7,90.0,Santa Margarita,3.8,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
2,2025-06-03,INS040801AT,7.0,3.7,90.0,Santa Margarita,54.6,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
3,2025-06-04,INS040801AT,5.0,3.7,90.0,Santa Margarita,3.8,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
4,2025-06-05,INS040801AT,8.0,2.0,90.0,Santa Margarita,87.6,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
5,2025-06-06,INS040801AT,5.0,5.3,360.0,Santa Margarita,56.1,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
6,2025-06-07,INS040801AT,7.0,2.0,90.0,Santa Margarita,30.7,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
7,2025-06-08,INS040801AT,3.0,5.3,90.0,Santa Margarita,18.3,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
8,2025-06-09,INS040801AT,5.0,5.3,90.0,Santa Margarita,33.3,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
9,2025-06-10,INS040801AT,8.0,2.0,90.0,Santa Margarita,33.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
10,2025-06-11,INS040801AT,5.0,3.7,90.0,Santa Margarita,33.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
11,2025-06-12,INS040801AT,6.0,2.0,90.0,Santa Margarita,38.4,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
12,2025-06-13,INS040801AT,8.0,3.7,90.0,Santa Margarita,28.5,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
13,2025-06-14,INS040801AT,3.0,3.7,90.0,Santa Margarita,2.1,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
14,2025-06-15,INS040801AT,5.0,3.7,90.0,Santa Margarita,3.2,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
15,2025-06-16,INS040801AT,5.0,5.3,90.0,Santa Margarita,25.4,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
16,2025-06-17,INS040801AT,8.0,5.3,360.0,Santa Margarita,30.5,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
17,2025-06-18,INS040801AT,8.0,3.7,90.0,Santa Margarita,31.2,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
18,2025-06-19,INS040801AT,7.0,5.3,90.0,Santa Margarita,4.2,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
19,2025-06-20,INS040801AT,8.0,3.7,90.0,Santa Margarita,87.7,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
20,2025-06-21,INS040801AT,7.0,3.7,90.0,Santa Margarita,5.1,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
21,2025-06-22,INS040801AT,5.0,5.3,360.0,Santa Margarita,0.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
22,2025-06-23,INS040801AT,8.0,10.7,90.0,Santa Margarita,0.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
23,2025-06-24,INS040801AT,3.0,9.7,90.0,Santa Margarita,0.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
24,2025-06-25,INS040801AT,3.0,8.0,90.0,Santa Margarita,0.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
25,2025-06-26,INS040801AT,6.0,2.0,90.0,Santa Margarita,5.9,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
26,2025-06-27,INS040801AT,6.0,5.3,360.0,Santa Margarita,10.9,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
27,2025-06-28,INS040801AT,8.0,3.7,90.0,Santa Margarita,0.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
28,2025-06-29,INS040801AT,6.0,3.7,90.0,Santa Margarita,38.1,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
29,2025-06-30,INS040801AT,5.0,7.3,90.0,Santa Margarita,0.0,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
30,2025-07-01,INS040801AT,2.0,2.0,90.0,Santa Margarita,,INSDMCL0408001CONV,14.50575,-91.01144,1137.0
