No.,fecha,ID,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-06-14,INS161201CV,22.8,28.9,34.6,89.0,7.0,3.3,9.0,Santa María Cahabón,12.5,INSDMCL1612001CONV,15.608429,-89.81227,380.0
2,2025-06-15,INS161201CV,21.4,27.8,33.2,88.0,8.0,1.3,0.0,Santa María Cahabón,37.1,INSDMCL1612001CONV,15.608429,-89.81227,380.0
3,2025-06-16,INS161201CV,22.6,27.2,31.0,88.0,8.0,2.0,0.0,Santa María Cahabón,51.3,INSDMCL1612001CONV,15.608429,-89.81227,380.0
4,2025-06-17,INS161201CV,22.2,28.1,34.4,88.0,5.0,3.3,270.0,Santa María Cahabón,33.5,INSDMCL1612001CONV,15.608429,-89.81227,380.0
5,2025-06-18,INS161201CV,21.8,28.6,35.0,90.0,7.0,2.3,0.0,Santa María Cahabón,22.9,INSDMCL1612001CONV,15.608429,-89.81227,380.0
6,2025-06-19,INS161201CV,22.4,28.5,34.6,85.0,4.0,0.7,0.0,Santa María Cahabón,8.2,INSDMCL1612001CONV,15.608429,-89.81227,380.0
7,2025-06-20,INS161201CV,22.0,28.0,33.4,89.0,7.0,2.0,315.0,Santa María Cahabón,15.1,INSDMCL1612001CONV,15.608429,-89.81227,380.0
8,2025-06-21,INS161201CV,23.0,27.6,32.6,88.0,8.0,2.0,0.0,Santa María Cahabón,19.3,INSDMCL1612001CONV,15.608429,-89.81227,380.0
9,2025-06-22,INS161201CV,23.2,29.0,34.6,87.0,6.0,2.0,9.0,Santa María Cahabón,14.3,INSDMCL1612001CONV,15.608429,-89.81227,380.0
10,2025-06-23,INS161201CV,22.6,26.1,30.2,87.0,8.0,1.3,0.0,Santa María Cahabón,5.9,INSDMCL1612001CONV,15.608429,-89.81227,380.0
11,2025-06-24,INS161201CV,23.4,28.8,34.4,89.0,7.0,2.0,90.0,Santa María Cahabón,10.1,INSDMCL1612001CONV,15.608429,-89.81227,380.0
12,2025-06-25,INS161201CV,22.0,27.9,33.6,89.0,7.0,3.7,9.0,Santa María Cahabón,157.6,INSDMCL1612001CONV,15.608429,-89.81227,380.0
13,2025-06-26,INS161201CV,21.0,27.1,32.4,90.0,7.0,1.3,0.0,Santa María Cahabón,10.5,INSDMCL1612001CONV,15.608429,-89.81227,380.0
14,2025-06-27,INS161201CV,22.0,27.0,31.4,88.0,8.0,1.3,90.0,Santa María Cahabón,14.3,INSDMCL1612001CONV,15.608429,-89.81227,380.0
15,2025-06-28,INS161201CV,21.6,27.3,31.6,88.0,7.0,0.7,0.0,Santa María Cahabón,32.5,INSDMCL1612001CONV,15.608429,-89.81227,380.0
16,2025-06-29,INS161201CV,22.4,28.5,34.0,89.0,5.0,1.3,0.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
17,2025-06-30,INS161201CV,22.2,27.5,32.4,87.0,8.0,1.3,0.0,Santa María Cahabón,4.7,INSDMCL1612001CONV,15.608429,-89.81227,380.0
18,2025-07-01,INS161201CV,21.4,26.8,31.6,89.0,8.0,2.0,0.0,Santa María Cahabón,12.5,INSDMCL1612001CONV,15.608429,-89.81227,380.0
19,2025-07-02,INS161201CV,22.6,26.9,31.0,90.0,8.0,2.0,0.0,Santa María Cahabón,18.9,INSDMCL1612001CONV,15.608429,-89.81227,380.0
20,2025-07-03,INS161201CV,21.2,28.2,35.0,93.0,6.0,1.3,0.0,Santa María Cahabón,1.1,INSDMCL1612001CONV,15.608429,-89.81227,380.0
21,2025-07-04,INS161201CV,21.8,29.5,36.0,89.0,5.0,2.0,9.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
22,2025-07-05,INS161201CV,21.4,28.8,35.4,91.0,5.0,2.0,0.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
23,2025-07-06,INS161201CV,23.0,30.1,36.2,89.0,4.0,2.0,9.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
24,2025-07-07,INS161201CV,23.8,30.3,36.8,89.0,5.0,2.3,0.0,Santa María Cahabón,8.7,INSDMCL1612001CONV,15.608429,-89.81227,380.0
25,2025-07-08,INS161201CV,21.4,28.3,34.4,88.0,6.0,2.7,45.0,Santa María Cahabón,0.9,INSDMCL1612001CONV,15.608429,-89.81227,380.0
26,2025-07-09,INS161201CV,22.8,29.1,35.2,90.0,7.0,1.3,0.0,Santa María Cahabón,6.6,INSDMCL1612001CONV,15.608429,-89.81227,380.0
27,2025-07-10,INS161201CV,22.2,28.0,35.0,90.0,6.0,1.3,9.0,Santa María Cahabón,4.7,INSDMCL1612001CONV,15.608429,-89.81227,380.0
28,2025-07-11,INS161201CV,21.2,27.1,33.4,89.0,8.0,2.3,0.0,Santa María Cahabón,2.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
29,2025-07-12,INS161201CV,21.0,28.3,34.8,88.0,6.0,2.7,9.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
30,2025-07-13,INS161201CV,21.4,23.2,,92.0,8.0,0.0,0.0,Santa María Cahabón,,INSDMCL1612001CONV,15.608429,-89.81227,380.0
