No.,fecha,ID,tmin,tseca,tmax,eva_tan,hum_rel,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-12-01,INS071901CV,,,,,,,,,Santiago Atitlán,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
2,2024-12-02,INS071901CV,18.0,20.5,22.6,3.9,77.0,6.0,26.7,240.0,Santiago Atitlán,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
3,2024-12-03,INS071901CV,14.0,19.5,24.4,4.1,63.0,3.0,41.7,356.6666666666667,Santiago Atitlán,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
4,2024-12-04,INS071901CV,14.0,21.3,27.8,4.2,64.0,4.0,27.7,356.6666666666667,Santiago Atitlán,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
5,2024-12-05,INS071901CV,12.0,21.0,28.8,4.6,76.0,3.0,8.7,60.0,Santiago Atitlán,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
6,2024-12-06,INS071901CV,16.2,22.1,27.6,2.9,65.0,4.0,24.3,356.6666666666667,Santiago Atitlán,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
7,2024-12-07,INS071901CV,16.0,21.5,27.2,3.5,68.0,1.0,29.3,353.3333333333333,Santiago Atitlán,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
8,2024-12-08,INS071901CV,16.0,21.5,27.4,4.0,70.0,4.0,22.0,130.0,Santiago Atitlán,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
9,2024-12-09,INS071901CV,11.4,20.3,27.8,3.6,81.0,1.0,10.0,126.66666666666669,Santiago Atitlán,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
10,2024-12-10,INS071901CV,9.0,20.6,28.4,2.3,78.0,2.0,4.3,56.66666666666666,Santiago Atitlán,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
11,2024-12-11,INS071901CV,10.8,20.7,28.4,3.6,74.0,3.0,14.3,176.66666666666666,Santiago Atitlán,0.0,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
12,2024-12-12,INS071901CV,17.0,22.5,,2.5,74.0,4.0,35.0,360.0,Santiago Atitlán,,INSDMCL0719001CONV,14.630858,-91.232526,1569.0
