No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-11-06,INS121701CV,TECUN UMAN,1.6,23.0,28.8,33.6,2.4,74.0,8.2,4.0,4.9,9.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
2,2024-11-07,INS121701CV,TECUN UMAN,21.9,23.0,28.1,34.6,2.6,79.0,5.9,4.0,4.9,9.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
3,2024-11-08,INS121701CV,TECUN UMAN,2.4,23.0,27.3,33.0,2.5,80.0,6.2,6.0,4.9,9.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
4,2024-11-09,INS121701CV,TECUN UMAN,4.6,22.0,28.2,34.0,3.8,76.0,3.3,4.0,4.9,9.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
5,2024-11-10,INS121701CV,TECUN UMAN,4.4,22.0,27.8,34.4,3.0,79.0,6.1,4.0,6.2,9.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
6,2024-11-11,INS121701CV,TECUN UMAN,0.0,21.0,27.9,34.0,2.4,79.0,6.8,3.0,4.9,315.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
7,2024-11-12,INS121701CV,TECUN UMAN,7.4,22.0,26.0,33.0,1.5,86.0,3.4,5.0,8.6,45.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
8,2024-11-13,INS121701CV,TECUN UMAN,19.9,23.0,27.7,33.0,0.6,81.0,6.0,5.0,4.9,9.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
9,2024-11-14,INS121701CV,TECUN UMAN,0.0,22.0,28.0,33.0,3.4,77.0,6.5,4.0,4.9,9.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
10,2024-11-15,INS121701CV,TECUN UMAN,17.9,22.4,27.0,33.0,2.5,82.0,4.5,5.0,4.9,9.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
