No.,fecha,ID,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-03-12,INS121701CV,21.0,29.3,35.4,4.6,70.0,6.8,3.0,7.4,180.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
2,2025-03-13,INS121701CV,22.4,30.0,36.4,4.4,69.0,9.5,0.0,7.4,9.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
3,2025-03-14,INS121701CV,21.0,29.8,36.6,5.2,70.0,9.7,0.0,9.9,90.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
4,2025-03-15,INS121701CV,21.0,29.7,36.6,4.8,71.0,9.8,0.0,8.6,360.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
5,2025-03-16,INS121701CV,21.6,28.9,35.6,5.2,68.0,9.6,2.0,4.9,9.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
6,2025-03-17,INS121701CV,21.0,29.5,36.0,4.8,71.0,9.2,1.0,8.6,9.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
7,2025-03-18,INS121701CV,21.6,29.9,35.4,4.6,70.0,9.6,2.0,6.2,270.0,Tecún Umán Fegua Ayutla,1.3,INSDMCL1217001CONV,14.70195,-92.128059,29.0
8,2025-03-19,INS121701CV,24.0,30.3,35.4,4.4,67.0,5.2,5.0,4.9,9.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
9,2025-03-20,INS121701CV,23.0,29.9,35.4,4.5,69.0,9.1,1.0,4.9,180.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
10,2025-03-21,INS121701CV,21.0,29.5,35.6,4.9,70.0,9.3,2.0,4.9,9.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
11,2025-03-22,INS121701CV,22.0,29.7,36.0,5.2,71.0,8.7,2.0,4.9,180.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
12,2025-03-23,INS121701CV,23.0,30.3,36.4,5.0,67.0,9.2,2.0,6.2,9.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
13,2025-03-24,INS121701CV,24.0,30.9,37.6,5.3,67.0,7.2,3.0,6.2,9.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
14,2025-03-25,INS121701CV,23.4,30.9,37.4,4.0,69.0,7.6,3.0,7.4,90.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
15,2025-03-26,INS121701CV,22.4,30.3,37.0,3.8,68.0,7.8,3.0,4.9,135.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
16,2025-03-27,INS121701CV,21.0,29.7,37.4,4.0,71.0,7.4,5.0,7.4,9.0,Tecún Umán Fegua Ayutla,22.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
17,2025-03-28,INS121701CV,22.4,28.5,32.6,3.8,74.0,3.2,8.0,8.6,270.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
18,2025-03-29,INS121701CV,21.4,29.0,35.4,4.0,72.0,4.2,7.0,8.6,315.0,Tecún Umán Fegua Ayutla,0.0,INSDMCL1217001CONV,14.70195,-92.128059,29.0
