No.,fecha,ID,tmin,tseca,tmax,eva_piche,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-02-17,INS131501CV,3.4,13.0,17.0,1.0,6.0,4.7,9.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
2,2025-02-18,INS131501CV,6.0,14.3,19.5,1.0,5.0,6.7,9.0,Todos Santos,4.3,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
3,2025-02-19,INS131501CV,5.0,13.6,18.5,1.0,6.0,4.7,9.0,Todos Santos,1.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
4,2025-02-20,INS131501CV,6.0,12.3,16.0,0.5,7.0,4.7,90.0,Todos Santos,3.4,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
5,2025-02-21,INS131501CV,5.0,13.7,18.5,0.5,7.0,7.0,90.0,Todos Santos,2.9,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
6,2025-02-22,INS131501CV,8.0,13.1,16.5,0.5,8.0,5.0,315.0,Todos Santos,1.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
7,2025-02-23,INS131501CV,4.0,13.7,19.5,0.0,3.0,9.0,270.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
8,2025-02-24,INS131501CV,4.4,14.3,19.5,1.0,4.0,6.7,9.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
9,2025-02-25,INS131501CV,4.4,13.9,19.5,1.0,3.0,6.7,270.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
10,2025-02-26,INS131501CV,5.0,15.2,21.5,1.0,2.0,7.0,270.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
11,2025-02-27,INS131501CV,4.6,15.4,21.5,1.5,0.0,9.0,315.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
12,2025-02-28,INS131501CV,6.2,14.1,19.5,1.5,4.0,6.7,270.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
13,2025-03-01,INS131501CV,4.0,15.5,21.5,1.0,1.0,7.0,315.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
14,2025-03-02,INS131501CV,3.6,14.9,21.0,2.0,0.0,5.3,90.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
15,2025-03-03,INS131501CV,3.0,15.5,21.5,1.0,0.0,9.0,270.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
16,2025-03-04,INS131501CV,2.2,15.5,21.5,2.0,1.0,9.0,9.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
17,2025-03-05,INS131501CV,4.0,14.9,21.5,1.5,1.0,9.0,9.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
18,2025-03-06,INS131501CV,3.0,13.9,20.0,2.0,3.0,11.3,270.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
19,2025-03-07,INS131501CV,5.0,15.9,21.5,1.0,0.0,9.0,135.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
20,2025-03-08,INS131501CV,1.0,14.8,21.0,1.0,4.0,9.0,9.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
21,2025-03-09,INS131501CV,3.0,15.9,22.5,1.5,1.0,4.3,0.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
22,2025-03-10,INS131501CV,3.2,12.6,17.5,2.0,6.0,2.3,0.0,Todos Santos,0.5,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
23,2025-03-11,INS131501CV,4.0,15.5,22.0,0.5,1.0,4.7,9.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
24,2025-03-12,INS131501CV,5.0,16.3,22.5,2.0,1.0,4.7,9.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
25,2025-03-13,INS131501CV,5.4,16.5,23.5,1.5,0.0,9.0,9.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
26,2025-03-14,INS131501CV,4.4,16.5,23.5,2.0,0.0,6.7,9.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
27,2025-03-15,INS131501CV,4.0,16.2,22.5,2.0,1.0,9.0,9.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
28,2025-03-16,INS131501CV,4.2,16.3,22.5,2.0,1.0,4.7,9.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
29,2025-03-17,INS131501CV,3.2,13.1,17.5,2.0,8.0,3.0,270.0,Todos Santos,0.0,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
30,2025-03-18,INS131501CV,4.6,10.0,,1.0,0.0,7.0,90.0,Todos Santos,,INSDMCL1315001CONV,15.5080222,-91.6003111,2480.0
